class,order,family,genus
Magnoliopsidae,Magnoliales,Annonaceae,Papualthia
Magnoliopsidae,Rosales,Moraceae,Anonocarpus
Magnoliopsidae,Rosales,Moraceae,Allaeanthus
Magnoliopsidae,Rosales,Moraceae,Gymnartocarpus
Magnoliopsidae,Rosales,Moraceae,Noyera
Magnoliopsidae,Rosales,Moraceae,Brosimopsis
Magnoliopsidae,Rosales,Moraceae,Ferolia
Magnoliopsidae,Rosales,Moraceae,Piratinera
Magnoliopsidae,Fagales,Fagaceae,Pasaniopsis
Magnoliopsidae,Fagales,Juglandaceae,Hicoria
Pteropsida,Polypodiales,Grammitidaceae,Oreogrammitis
Pteropsida,Polypodiales,Aspleniaceae,Hymenasplenium
Magnoliopsidae,Cucurbitales,Cucurbitaceae,Sinobaijiania
Magnoliopsidae,Ranunculales,Menispermaceae,Haematocarpus
Magnoliopsidae,Magnoliales,Annonaceae,Polyaulax
Magnoliopsidae,Sapindales,Sapindaceae,Rhysotoechia
Magnoliopsidae,Fabales,Leguminosae-Pap.,Cruddasia
Ascomycota,Microascales,Halosphaeriaceae,Corollospora
Ascomycota,Hypocreales,Clavicipitaceae,Cordyceps
Basidiomycota,Corticiales,Corticiaceae,Brevicellicium
Basidiomycota,Corticiales,Corticiaceae,Auriculariopsis
Basidiomycota,Corticiales,Corticiaceae,Athelopsis
Basidiomycota,Corticiales,Corticiaceae,Athelia
Basidiomycota,Agaricales,Inocybaceae,Crepidotus
Ascomycota,Pezizales,Morchellaceae,Costantinella
Ascomycota,Geoglossales,Geoglosssaceae,Corynetes
Ascomycota,Helotiales,Helotiaceae,Corynella
Magnoliopsidae,Arecales,Palmae,Drymophloeus
Basidiomycota,Agaricales,Coprinaceae,Coprinellus
Basidiomycota,Cantharellales,Clavulinaceae,Clavulina
Basidiomycota,Russulales,Hericiaceae,Clavicorona
Basidiomycota,Agaricales,Clavariaceae,Clavariadelphus
Basidiomycota,Tremellales,Carcinomycetaceae,Christiansenia
