class,order,family,genus
Magnoliopsidae,Gentianales,Rubiaceae,Vidalasia
Magnoliopsidae,Gentianales,Rubiaceae,Synaptantha
Magnoliopsidae,Gentianales,Rubiaceae,Litosanthes
Magnoliopsidae,Gentianales,Rubiaceae,Neofranciella
Magnoliopsidae,Gentianales,Rubiaceae,Stichianthus
Magnoliopsidae,Arecales,Palmae,Gulubia
Magnoliopsidae,Fabales,Polygalaceae,Balgoya
Magnoliopsidae,Ericales,Primulaceae,Bryocarpum
Magnoliopsidae,Proteales,Proteaceae,Beaupreopsis
Magnoliopsidae,Proteales,Proteaceae,Buckinghamia
