Options:
Model:                           MultiState
Tree File Name:                  data/jan_nat_species_11-07-25.tre
Data File Name:                  data/jan_nat_species_11-07-25.txt
Log File Name:                   data/jan_nat_species_11-07-25.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            152725646
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_nat_species_11-07-25.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2990
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-1052.021578	1	0.000396	0.000047	0.000031	0.028885	0.013903	0.000991	0.001696	0.029053	0.004031	0.006337	0.002608	0.002233	0.001443	0.295784	0.690274	0.012499	
26000	-1045.231938	1	0.000104	0.000257	0.000031	0.026475	0.001767	0.002520	0.003900	0.018194	0.002135	0.004168	0.002071	0.002090	0.004477	0.050705	0.937022	0.007796	
27000	-1050.934228	1	0.000144	0.000298	0.000014	0.033659	0.001747	0.001372	0.002460	0.016903	0.002766	0.003818	0.002295	0.002060	0.005565	0.036477	0.950390	0.007569	
28000	-1048.768461	1	0.000197	0.000162	0.000056	0.021414	0.003821	0.003051	0.004252	0.018589	0.001880	0.006898	0.000663	0.003155	0.003048	0.264207	0.717255	0.015490	
29000	-1051.374820	1	0.000364	0.000058	0.000037	0.023564	0.008451	0.001591	0.003253	0.023337	0.003442	0.003674	0.002038	0.002741	0.002236	0.365419	0.623777	0.008569	
30000	-1049.573631	1	0.000200	0.000157	0.000040	0.022513	0.002937	0.001501	0.005066	0.020204	0.001680	0.006733	0.001029	0.003113	0.001797	0.118351	0.856268	0.023584	
31000	-1047.610694	1	0.000032	0.000217	0.000026	0.025044	0.006368	0.001901	0.004160	0.021226	0.002370	0.005443	0.002236	0.001921	0.001974	0.171023	0.818502	0.008501	
32000	-1043.695347	1	0.000181	0.000152	0.000024	0.024822	0.005047	0.001721	0.001423	0.018490	0.004262	0.005364	0.002818	0.001031	0.003151	0.299726	0.690644	0.006479	
33000	-1050.016316	1	0.000104	0.000222	0.000018	0.030880	0.002274	0.002426	0.000108	0.026638	0.001649	0.006991	0.000445	0.003767	0.002102	0.041763	0.928965	0.027169	
34000	-1046.696992	1	0.000243	0.000096	0.000017	0.025874	0.006478	0.001861	0.000142	0.023106	0.003249	0.005683	0.002847	0.001888	0.001568	0.253420	0.734831	0.010180	
35000	-1047.792798	1	0.000194	0.000092	0.000058	0.028789	0.004140	0.001190	0.002216	0.014519	0.004192	0.005477	0.001993	0.002052	0.001401	0.202818	0.786694	0.009087	
36000	-1049.797639	1	0.000361	0.000080	0.000017	0.031879	0.003664	0.002978	0.000642	0.021517	0.002214	0.005372	0.002369	0.002953	0.001134	0.081050	0.903132	0.014684	
37000	-1048.196456	1	0.000275	0.000199	0.000055	0.028814	0.007832	0.001475	0.001432	0.023993	0.003906	0.004530	0.001575	0.002089	0.004895	0.286165	0.701853	0.007088	
38000	-1046.645268	1	0.000119	0.000099	0.000029	0.030472	0.003523	0.000099	0.001247	0.018948	0.004581	0.005540	0.001871	0.002248	0.000910	0.064740	0.924659	0.009691	
39000	-1046.923990	1	0.000185	0.000131	0.000065	0.025373	0.008465	0.000256	0.000611	0.021006	0.005231	0.006507	0.001209	0.002004	0.002178	0.433663	0.556604	0.007555	
40000	-1046.596612	1	0.000031	0.000365	0.000008	0.023510	0.002683	0.002052	0.001857	0.019218	0.003666	0.007199	0.001394	0.002248	0.008733	0.153204	0.825013	0.013050	
41000	-1048.173112	1	0.000100	0.000165	0.000087	0.024802	0.006080	0.001054	0.002039	0.020331	0.004265	0.005170	0.002083	0.003363	0.002085	0.272065	0.711344	0.014506	
42000	-1048.904709	1	0.000215	0.000225	0.000039	0.027910	0.002973	0.003093	0.003614	0.016242	0.002905	0.004899	0.001719	0.000866	0.008013	0.099544	0.888883	0.003560	
43000	-1048.654062	1	0.000159	0.000141	0.000062	0.025417	0.006346	0.001984	0.002610	0.020380	0.004448	0.006565	0.000950	0.003597	0.001976	0.263505	0.718768	0.015750	
44000	-1050.513599	1	0.000155	0.000171	0.000110	0.024850	0.003195	0.003035	0.001892	0.022288	0.001810	0.007408	0.000646	0.003121	0.002703	0.133265	0.844942	0.019089	
45000	-1049.222619	1	0.000070	0.000167	0.000049	0.032986	0.002869	0.002426	0.000332	0.022846	0.001827	0.004774	0.000769	0.003080	0.001625	0.039580	0.947720	0.011074	
46000	-1043.937645	1	0.000054	0.000217	0.000015	0.025086	0.001996	0.001383	0.000367	0.016585	0.005304	0.007635	0.001042	0.000864	0.004799	0.143509	0.846949	0.004743	
47000	-1045.844013	1	0.000112	0.000114	0.000001	0.026650	0.002433	0.001511	0.002468	0.015106	0.003403	0.004615	0.003010	0.001399	0.001275	0.077092	0.915237	0.006396	
48000	-1046.592337	1	0.000227	0.000224	0.000003	0.024287	0.006452	0.001234	0.001825	0.017624	0.005291	0.005595	0.002013	0.002212	0.008278	0.506248	0.476036	0.009438	
49000	-1044.764756	1	0.000263	0.000200	0.000000	0.026231	0.004123	0.001475	0.001211	0.020830	0.005364	0.005614	0.001878	0.001611	0.006147	0.226079	0.760531	0.007243	
50000	-1046.219402	1	0.000221	0.000185	0.000009	0.026191	0.006697	0.002058	0.001224	0.020291	0.003040	0.005129	0.001669	0.002356	0.004490	0.350048	0.636594	0.008868	
51000	-1050.137817	1	0.000293	0.000306	0.000009	0.029187	0.004403	0.002064	0.002047	0.024475	0.003885	0.004799	0.003031	0.001981	0.008921	0.150545	0.830680	0.009854	
52000	-1047.501426	1	0.000122	0.000191	0.000004	0.025526	0.003386	0.001833	0.000260	0.014311	0.005646	0.004842	0.003476	0.001497	0.006478	0.482885	0.500033	0.010605	
53000	-1053.422401	1	0.000032	0.000429	0.000077	0.024262	0.003465	0.001472	0.002827	0.018492	0.002323	0.005287	0.001272	0.003404	0.012765	0.220561	0.751684	0.014991	
54000	-1048.257907	1	0.000013	0.000275	0.000059	0.023555	0.003112	0.000684	0.001339	0.014306	0.004131	0.007616	0.001496	0.001058	0.005984	0.316817	0.670743	0.006456	
55000	-1051.808835	1	0.000103	0.000220	0.000039	0.030924	0.002399	0.004183	0.004141	0.018095	0.001408	0.003901	0.004221	0.002853	0.002623	0.047733	0.934663	0.014981	
56000	-1047.250818	1	0.000138	0.000233	0.000019	0.029724	0.005906	0.001687	0.002835	0.019107	0.003754	0.005657	0.001400	0.002227	0.003572	0.181743	0.805766	0.008920	
57000	-1045.362458	1	0.000087	0.000253	0.000042	0.022895	0.002462	0.001190	0.003075	0.015841	0.003580	0.004244	0.002207	0.001722	0.006221	0.182037	0.804944	0.006799	
58000	-1049.262503	1	0.000302	0.000124	0.000061	0.025033	0.005460	0.000389	0.001325	0.025400	0.005180	0.005445	0.001480	0.002026	0.002210	0.206774	0.783092	0.007925	
59000	-1046.909437	1	0.000107	0.000183	0.000036	0.025118	0.004531	0.000847	0.005488	0.018567	0.004557	0.007049	0.001235	0.002289	0.001822	0.122187	0.865092	0.010899	
60000	-1045.161069	1	0.000058	0.000257	0.000002	0.027922	0.002287	0.001247	0.001503	0.016542	0.003392	0.007258	0.001815	0.000937	0.004082	0.072384	0.918477	0.005057	
61000	-1046.742604	1	0.000067	0.000179	0.000005	0.023763	0.002001	0.002080	0.002355	0.014696	0.003159	0.003866	0.003445	0.001976	0.003074	0.142505	0.845225	0.009196	
62000	-1047.806212	1	0.000390	0.000177	0.000023	0.024973	0.006988	0.000929	0.002403	0.017234	0.004448	0.005843	0.001374	0.000789	0.010705	0.514663	0.470377	0.004255	
63000	-1050.458795	1	0.000147	0.000171	0.000056	0.023106	0.004094	0.001317	0.001595	0.012960	0.007561	0.009855	0.001056	0.001100	0.004136	0.511784	0.476728	0.007352	
64000	-1054.049237	1	0.000419	0.000225	0.000025	0.025734	0.009008	0.000690	0.004553	0.023841	0.006115	0.006175	0.000713	0.001689	0.009147	0.391841	0.593529	0.005483	
65000	-1045.951278	1	0.000081	0.000157	0.000046	0.025456	0.002667	0.000973	0.002911	0.019024	0.004536	0.004850	0.000654	0.002814	0.001790	0.096312	0.892154	0.009744	
66000	-1045.685958	1	0.000122	0.000292	0.000030	0.020834	0.002316	0.001254	0.003734	0.015269	0.004455	0.006540	0.001648	0.001670	0.009877	0.193959	0.787614	0.008550	
67000	-1045.480106	1	0.000098	0.000143	0.000004	0.026220	0.001702	0.001959	0.002221	0.019257	0.003559	0.005597	0.000848	0.003212	0.001526	0.046774	0.937932	0.013768	
68000	-1044.840895	1	0.000205	0.000164	0.000028	0.024847	0.002378	0.000994	0.002702	0.014672	0.005941	0.005421	0.002318	0.000771	0.004901	0.206465	0.784107	0.004527	
69000	-1046.644232	1	0.000162	0.000149	0.000013	0.024253	0.003783	0.000187	0.001635	0.014263	0.005935	0.007230	0.000644	0.000201	0.002864	0.453385	0.542077	0.001674	
70000	-1046.338117	1	0.000039	0.000272	0.000042	0.028848	0.002094	0.001819	0.001265	0.021562	0.003432	0.005082	0.001306	0.001954	0.004574	0.054167	0.933768	0.007491	
71000	-1045.853075	1	0.000123	0.000230	0.000069	0.024400	0.002279	0.002071	0.003080	0.018479	0.003028	0.006352	0.002492	0.001610	0.004162	0.082072	0.905158	0.008607	
72000	-1046.906487	1	0.000224	0.000143	0.000047	0.024724	0.005023	0.000714	0.002534	0.015435	0.004671	0.007494	0.002831	0.000355	0.002789	0.313292	0.678621	0.005298	
73000	-1051.588291	1	0.000048	0.000163	0.000023	0.027284	0.002257	0.001223	0.006690	0.019161	0.003670	0.004384	0.001897	0.005492	0.001321	0.041697	0.913360	0.043622	
74000	-1053.896321	1	0.000052	0.000164	0.000081	0.020025	0.002335	0.001796	0.005933	0.011371	0.006904	0.006199	0.001570	0.002195	0.002394	0.292538	0.695326	0.009742	
75000	-1045.961232	1	0.000205	0.000243	0.000049	0.023004	0.001439	0.001587	0.002704	0.017718	0.003727	0.006242	0.001822	0.001903	0.007890	0.082958	0.899205	0.009947	
76000	-1049.317368	1	0.000164	0.000267	0.000042	0.028690	0.004034	0.000374	0.001349	0.016218	0.004044	0.003459	0.003357	0.001070	0.008065	0.265022	0.721183	0.005730	
77000	-1047.271748	1	0.000141	0.000259	0.000039	0.024513	0.003068	0.000693	0.002688	0.014984	0.004935	0.007513	0.003182	0.000510	0.006150	0.192994	0.795503	0.005353	
78000	-1043.603854	1	0.000259	0.000207	0.000006	0.024167	0.002539	0.001827	0.003057	0.015735	0.003523	0.005741	0.001331	0.001523	0.007968	0.158572	0.826995	0.006465	
79000	-1048.521062	1	0.000309	0.000144	0.000013	0.030042	0.006131	0.002620	0.001516	0.019627	0.004061	0.004016	0.003548	0.001065	0.004913	0.256175	0.732572	0.006340	
80000	-1045.827515	1	0.000141	0.000164	0.000016	0.028100	0.003763	0.001375	0.001353	0.020893	0.004848	0.003811	0.002085	0.002869	0.002330	0.141314	0.845917	0.010439	
81000	-1045.410586	1	0.000093	0.000214	0.000015	0.025862	0.004627	0.000939	0.000515	0.016886	0.005984	0.006444	0.000979	0.000448	0.004810	0.431135	0.561297	0.002758	
82000	-1046.374191	1	0.000266	0.000263	0.000007	0.027201	0.002968	0.002793	0.000786	0.020187	0.003685	0.005985	0.002472	0.002396	0.010764	0.166925	0.808398	0.013913	
83000	-1046.557891	1	0.000303	0.000136	0.000019	0.024606	0.002710	0.001450	0.001517	0.019360	0.002632	0.006162	0.001441	0.002958	0.002491	0.136509	0.844218	0.016783	
84000	-1048.844737	1	0.000278	0.000323	0.000044	0.028692	0.003593	0.001362	0.000880	0.020741	0.005110	0.005238	0.002658	0.001723	0.016038	0.196752	0.778465	0.008745	
85000	-1045.814015	1	0.000156	0.000243	0.000027	0.025649	0.001346	0.002475	0.002400	0.019543	0.003860	0.005870	0.001461	0.003421	0.005318	0.065433	0.910465	0.018784	
86000	-1048.948964	1	0.000307	0.000119	0.000046	0.023071	0.002231	0.002412	0.002558	0.014181	0.002447	0.004568	0.001908	0.002421	0.006053	0.271989	0.712280	0.009678	
87000	-1046.343612	1	0.000153	0.000237	0.000010	0.026096	0.002354	0.001104	0.003541	0.014060	0.006385	0.006796	0.002698	0.000739	0.006220	0.146716	0.841889	0.005174	
88000	-1044.767345	1	0.000078	0.000215	0.000009	0.021959	0.002482	0.002016	0.003173	0.014514	0.004439	0.005655	0.001071	0.002093	0.005163	0.239584	0.747086	0.008166	
89000	-1045.974061	1	0.000153	0.000219	0.000001	0.023957	0.003634	0.001504	0.001502	0.014307	0.003962	0.005867	0.001833	0.002188	0.006920	0.423769	0.559416	0.009896	
90000	-1044.408671	1	0.000150	0.000157	0.000044	0.027556	0.004516	0.000622	0.002056	0.019507	0.003520	0.006356	0.001561	0.001356	0.001730	0.122125	0.870136	0.006010	
91000	-1047.522286	1	0.000221	0.000224	0.000037	0.021273	0.005511	0.000913	0.005019	0.014223	0.004846	0.007100	0.001855	0.001190	0.006508	0.419481	0.566923	0.007088	
92000	-1046.886744	1	0.000088	0.000189	0.000018	0.030216	0.003048	0.000866	0.000878	0.020888	0.005108	0.006618	0.003141	0.001302	0.001990	0.059760	0.931101	0.007148	
93000	-1044.323473	1	0.000137	0.000210	0.000022	0.025746	0.003664	0.001395	0.001809	0.018398	0.005139	0.005007	0.002687	0.002618	0.004068	0.209209	0.774077	0.012646	
94000	-1047.006359	1	0.000027	0.000210	0.000015	0.027596	0.003060	0.000524	0.003102	0.023318	0.003881	0.005547	0.001622	0.002342	0.001876	0.050790	0.937294	0.010040	
95000	-1048.023218	1	0.000116	0.000204	0.000030	0.024692	0.004567	0.000485	0.001020	0.016891	0.007701	0.004903	0.002753	0.002899	0.004299	0.464319	0.518313	0.013069	
96000	-1047.553629	1	0.000182	0.000149	0.000099	0.025017	0.004623	0.001057	0.001968	0.019388	0.003622	0.007714	0.000884	0.002158	0.002234	0.183539	0.803595	0.010633	
97000	-1049.204892	1	0.000275	0.000253	0.000052	0.024363	0.001600	0.002534	0.001518	0.017320	0.002393	0.006258	0.003042	0.002095	0.012625	0.130109	0.840680	0.016586	
98000	-1047.146756	1	0.000091	0.000160	0.000075	0.025590	0.003412	0.001709	0.002378	0.020804	0.003410	0.007597	0.001602	0.002370	0.001672	0.091477	0.892770	0.014081	
99000	-1050.866641	1	0.000172	0.000299	0.000064	0.020525	0.005079	0.000755	0.006849	0.015143	0.005234	0.005405	0.001411	0.002217	0.008517	0.366943	0.616474	0.008066	
100000	-1045.210818	1	0.000125	0.000194	0.000046	0.022027	0.003421	0.001443	0.002742	0.018914	0.003035	0.006242	0.000936	0.002984	0.003034	0.205047	0.778206	0.013713	
101000	-1043.980954	1	0.000104	0.000268	0.000010	0.023363	0.002095	0.001906	0.003649	0.015459	0.003045	0.005688	0.001789	0.000794	0.007064	0.099111	0.890066	0.003759	
102000	-1047.245126	1	0.000196	0.000178	0.000047	0.021769	0.003799	0.002243	0.002443	0.019350	0.002102	0.007313	0.000876	0.002481	0.003604	0.268110	0.714583	0.013703	
103000	-1045.175697	1	0.000156	0.000233	0.000027	0.026082	0.001081	0.001917	0.002216	0.015622	0.003657	0.007187	0.000988	0.002534	0.005436	0.054998	0.925186	0.014379	
104000	-1048.882716	1	0.000051	0.000214	0.000019	0.031033	0.002063	0.000969	0.003941	0.016875	0.003540	0.004509	0.002178	0.003910	0.002089	0.032324	0.947436	0.018151	
105000	-1047.021401	1	0.000188	0.000102	0.000034	0.025264	0.004709	0.000358	0.002850	0.013894	0.003920	0.005614	0.003068	0.000967	0.001475	0.303614	0.688103	0.006809	
106000	-1045.569396	1	0.000191	0.000162	0.000024	0.026969	0.004831	0.000581	0.002774	0.015734	0.004055	0.004354	0.002203	0.001045	0.002870	0.271900	0.720541	0.004689	
107000	-1050.640110	1	0.000183	0.000133	0.000009	0.028427	0.006637	0.000510	0.001075	0.015715	0.007990	0.004591	0.002700	0.001795	0.003046	0.600978	0.387120	0.008856	
108000	-1048.788809	1	0.000094	0.000193	0.000027	0.026197	0.005616	0.000363	0.002421	0.019817	0.007723	0.005520	0.001984	0.004104	0.002354	0.255707	0.722508	0.019432	
109000	-1048.619574	1	0.000098	0.000247	0.000032	0.025283	0.005088	0.001205	0.001112	0.025385	0.002810	0.005047	0.002045	0.003911	0.002973	0.173475	0.801250	0.022302	
110000	-1050.010740	1	0.000100	0.000431	0.000005	0.027499	0.000799	0.002013	0.003905	0.015244	0.003177	0.005164	0.002826	0.001624	0.015407	0.032326	0.944462	0.007805	
111000	-1053.018257	1	0.000136	0.000223	0.000049	0.026012	0.005699	0.003818	0.001475	0.019712	0.004163	0.008166	0.000562	0.001662	0.006547	0.258364	0.727322	0.007766	
112000	-1051.781635	1	0.000237	0.000148	0.000047	0.025680	0.005055	0.003911	0.000262	0.026078	0.001559	0.006522	0.002577	0.003515	0.002627	0.253318	0.711990	0.032064	
113000	-1048.781055	1	0.000399	0.000169	0.000064	0.026273	0.007198	0.000510	0.000588	0.018030	0.005514	0.006286	0.002265	0.000465	0.011033	0.582743	0.399903	0.006321	
114000	-1046.322259	1	0.000098	0.000199	0.000039	0.023884	0.003774	0.001590	0.001309	0.021258	0.005556	0.007946	0.000759	0.002041	0.002946	0.176820	0.810142	0.010092	
115000	-1046.203172	1	0.000189	0.000176	0.000017	0.029189	0.003296	0.000918	0.001582	0.019769	0.003946	0.007061	0.002513	0.000776	0.002155	0.072783	0.920750	0.004312	
116000	-1046.722593	1	0.000226	0.000115	0.000047	0.027681	0.004914	0.001267	0.000087	0.020907	0.002513	0.004078	0.002400	0.001618	0.001697	0.181696	0.810300	0.006308	
117000	-1049.013660	1	0.000177	0.000153	0.000062	0.024292	0.002661	0.002495	0.001644	0.017612	0.004932	0.004848	0.003474	0.002982	0.004011	0.209835	0.769017	0.017137	
118000	-1049.280224	1	0.000267	0.000198	0.000046	0.027963	0.002300	0.000480	0.000642	0.014733	0.005181	0.003801	0.003164	0.001392	0.011216	0.264998	0.716652	0.007133	
119000	-1047.923971	1	0.000128	0.000175	0.000026	0.029187	0.004395	0.002143	0.000596	0.019661	0.005713	0.004721	0.002925	0.002465	0.003194	0.205646	0.779400	0.011760	
120000	-1053.859364	1	0.000232	0.000138	0.000131	0.030191	0.002750	0.001789	0.002711	0.020862	0.003549	0.005206	0.000633	0.005012	0.002083	0.065986	0.908790	0.023142	
121000	-1045.694160	1	0.000217	0.000236	0.000035	0.028695	0.005202	0.000665	0.002639	0.018720	0.004231	0.005405	0.001589	0.001787	0.004778	0.200557	0.787541	0.007124	
122000	-1048.355783	1	0.000059	0.000149	0.000034	0.022901	0.001115	0.002403	0.006666	0.015136	0.003849	0.005733	0.001949	0.003241	0.001488	0.035137	0.946688	0.016687	
123000	-1047.251496	1	0.000165	0.000151	0.000028	0.026697	0.005481	0.002259	0.003827	0.018203	0.003838	0.004873	0.002326	0.003305	0.002035	0.205893	0.777554	0.014518	
124000	-1047.473763	1	0.000078	0.000242	0.000046	0.021312	0.002534	0.000692	0.000674	0.016397	0.006808	0.006794	0.002173	0.001673	0.007272	0.350911	0.631515	0.010302	
