Options:
Model:                           MultiState
Tree File Name:                  data/zun_nat_species_11-07-25.tre
Data File Name:                  data/zun_nat_species_11-07-25.txt
Log File Name:                   data/zun_nat_species_11-07-25.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            18507918
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_nat_species_11-07-25.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2842
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-1156.889245	1	0.000636	0.000251	0.000413	0.015464	0.055886	0.005533	0.017320	0.084243	0.000088	0.013519	0.001453	0.000516	0.006738	0.488343	0.503084	0.001835	
26000	-1154.522918	1	0.000385	0.000154	0.000452	0.022765	0.032338	0.005810	0.005493	0.053647	0.000031	0.015006	0.001318	0.000505	0.002740	0.613317	0.381934	0.002009	
27000	-1155.740099	1	0.000396	0.000067	0.000282	0.027634	0.031126	0.005372	0.003821	0.051958	0.001319	0.011415	0.000576	0.001888	0.001362	0.477667	0.519027	0.001944	
28000	-1157.696731	1	0.000587	0.000176	0.000658	0.021396	0.058307	0.002123	0.000764	0.070179	0.009498	0.016038	0.002149	0.000104	0.026349	0.805979	0.161725	0.005947	
29000	-1155.096032	1	0.000680	0.000016	0.000509	0.022591	0.032915	0.000510	0.001894	0.040368	0.012221	0.016649	0.003212	0.000109	0.009973	0.858864	0.123727	0.007435	
30000	-1154.443800	1	0.000713	0.000006	0.000302	0.010556	0.070899	0.000284	0.021092	0.099867	0.010762	0.015057	0.001322	0.000009	0.007942	0.463195	0.527405	0.001458	
31000	-1152.262096	1	0.000743	0.000007	0.000204	0.008859	0.096776	0.000441	0.017484	0.092286	0.011332	0.015545	0.001543	0.000132	0.016945	0.432866	0.547919	0.002270	
32000	-1152.600806	1	0.000541	0.000094	0.000220	0.013484	0.070597	0.000074	0.016383	0.068931	0.010454	0.015329	0.001487	0.000698	0.005589	0.519986	0.471950	0.002474	
33000	-1149.611330	1	0.000681	0.000226	0.000283	0.028711	0.017645	0.000617	0.002570	0.016987	0.010654	0.017946	0.000943	0.000438	0.006229	0.926973	0.064676	0.002121	
34000	-1155.151764	1	0.000291	0.000396	0.000307	0.027374	0.011368	0.001641	0.005152	0.014419	0.010343	0.015898	0.000611	0.000668	0.005040	0.826802	0.166850	0.001308	
35000	-1157.995488	1	0.000280	0.000650	0.000350	0.020370	0.059588	0.004330	0.003019	0.098641	0.003874	0.013495	0.001597	0.001259	0.029960	0.695137	0.266249	0.008654	
36000	-1156.210197	1	0.000806	0.000033	0.000181	0.011645	0.061389	0.007657	0.016810	0.064326	0.005536	0.016920	0.000134	0.001682	0.010724	0.428214	0.558302	0.002760	
37000	-1153.336667	1	0.000773	0.000028	0.000307	0.016755	0.094301	0.001762	0.012956	0.097298	0.006100	0.014653	0.000094	0.001504	0.008606	0.523795	0.465911	0.001688	
38000	-1153.759446	1	0.000742	0.000126	0.000482	0.022960	0.025086	0.000694	0.004306	0.028050	0.012933	0.013624	0.002248	0.000126	0.013521	0.911039	0.071240	0.004199	
39000	-1154.375944	1	0.000153	0.000388	0.000325	0.010450	0.082638	0.002447	0.019259	0.091108	0.005341	0.013837	0.001027	0.000707	0.003854	0.470933	0.523501	0.001712	
40000	-1156.738268	1	0.000218	0.000219	0.000295	0.024276	0.051820	0.006915	0.004334	0.087330	0.001583	0.014757	0.002768	0.001055	0.001741	0.497159	0.497280	0.003821	
41000	-1156.540288	1	0.000962	0.000031	0.000328	0.020224	0.048580	0.012682	0.007603	0.049844	0.001955	0.013537	0.001473	0.000220	0.037767	0.689179	0.270101	0.002953	
42000	-1161.174137	1	0.000429	0.000344	0.000155	0.013062	0.046419	0.007454	0.022913	0.040099	0.003559	0.015662	0.002830	0.000073	0.003062	0.506764	0.487207	0.002967	
43000	-1153.989366	1	0.000744	0.000131	0.000385	0.010204	0.075528	0.006668	0.017337	0.066701	0.002806	0.013987	0.001153	0.000529	0.017525	0.384296	0.596254	0.001925	
44000	-1153.020217	1	0.000417	0.000372	0.000303	0.003327	0.085879	0.003629	0.024812	0.093800	0.007407	0.014634	0.001751	0.000121	0.017865	0.283463	0.696972	0.001700	
45000	-1154.237975	1	0.000325	0.000251	0.000299	0.028472	0.070778	0.002507	0.004679	0.078343	0.006265	0.013675	0.002092	0.000487	0.002629	0.549381	0.445538	0.002452	
46000	-1153.398387	1	0.000643	0.000163	0.000489	0.025458	0.017709	0.003164	0.001941	0.021143	0.006904	0.017973	0.001044	0.001415	0.007683	0.935732	0.053571	0.003014	
47000	-1151.125397	1	0.000633	0.000316	0.000176	0.024165	0.014410	0.002448	0.001689	0.015092	0.009327	0.015737	0.000805	0.000955	0.014943	0.958719	0.024259	0.002079	
48000	-1152.621227	1	0.000621	0.000095	0.000147	0.026278	0.009871	0.002964	0.002508	0.012148	0.009799	0.018265	0.000292	0.000989	0.004346	0.923504	0.071025	0.001124	
49000	-1153.810722	1	0.000535	0.000328	0.000277	0.013861	0.083229	0.003942	0.012111	0.095707	0.007794	0.017391	0.001427	0.000091	0.016945	0.514131	0.466238	0.002687	
50000	-1150.123654	1	0.000371	0.000096	0.000272	0.022274	0.010713	0.000747	0.001404	0.015154	0.011892	0.016431	0.000783	0.001789	0.003199	0.954631	0.040163	0.002007	
51000	-1154.628401	1	0.000960	0.000006	0.000426	0.017501	0.077243	0.000409	0.004813	0.095945	0.012771	0.013888	0.001593	0.000370	0.093600	0.650542	0.251034	0.004824	
52000	-1149.680091	1	0.000759	0.000063	0.000281	0.023410	0.028689	0.001904	0.000101	0.027436	0.010054	0.015384	0.000207	0.001080	0.027991	0.928885	0.041984	0.001140	
53000	-1156.134869	1	0.001077	0.000045	0.000424	0.032068	0.019872	0.003272	0.000171	0.030267	0.003784	0.017712	0.000486	0.000977	0.005943	0.855190	0.137453	0.001415	
54000	-1149.441131	1	0.000901	0.000008	0.000353	0.021892	0.024362	0.003345	0.001998	0.021205	0.008318	0.016395	0.000912	0.000079	0.032874	0.928484	0.035558	0.003085	
55000	-1154.805135	1	0.000426	0.000061	0.000327	0.013661	0.061337	0.004160	0.019257	0.077977	0.000800	0.012516	0.001413	0.001767	0.002204	0.522469	0.472577	0.002751	
56000	-1153.132634	1	0.000858	0.000069	0.000350	0.014579	0.085669	0.005409	0.012912	0.089708	0.003660	0.016067	0.000994	0.000585	0.017805	0.504322	0.475497	0.002377	
57000	-1156.314899	1	0.000246	0.000210	0.000533	0.003097	0.097789	0.003166	0.033237	0.096186	0.003718	0.013729	0.001430	0.001082	0.001301	0.508089	0.488438	0.002172	
