Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3373951118
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-805.693767	1	0.000212	0.000151	0.000588	0.001651	0.028386	0.001809	0.017349	0.038300	0.038372	0.034133	0.001643	0.000010	0.001767	0.140217	0.845978	0.012038	
26000	-800.176977	1	0.000425	0.000084	0.000289	0.009155	0.019059	0.001702	0.008310	0.019641	0.015111	0.023461	0.001157	0.000032	0.017795	0.159812	0.813852	0.008541	
27000	-808.356031	1	0.000144	0.000592	0.000310	0.002762	0.043215	0.003797	0.011770	0.078952	0.023390	0.030626	0.000723	0.002253	0.059485	0.092035	0.645156	0.203324	
28000	-804.393823	1	0.000147	0.000295	0.000463	0.000230	0.073357	0.000354	0.026634	0.085816	0.025046	0.027101	0.002006	0.000861	0.002902	0.286277	0.697946	0.012875	
29000	-801.741994	1	0.000258	0.000352	0.000212	0.000359	0.062126	0.000809	0.025671	0.085292	0.022977	0.022763	0.000115	0.001534	0.018068	0.153601	0.817371	0.010960	
30000	-800.662174	1	0.000111	0.000429	0.000429	0.003298	0.055786	0.005628	0.018719	0.087671	0.012569	0.027609	0.000256	0.000379	0.014361	0.244003	0.736556	0.005079	
31000	-801.258349	1	0.000258	0.000228	0.000346	0.001950	0.025033	0.008146	0.018255	0.034479	0.006195	0.024896	0.000892	0.000516	0.018444	0.094965	0.868820	0.017771	
32000	-803.046916	1	0.000524	0.000160	0.000263	0.007371	0.052667	0.001693	0.009122	0.085515	0.022841	0.026653	0.000693	0.000694	0.032833	0.238237	0.702169	0.026762	
33000	-800.399480	1	0.000281	0.000189	0.000295	0.005556	0.039523	0.000664	0.009810	0.052981	0.016567	0.025946	0.000397	0.000294	0.029600	0.111021	0.846112	0.013268	
34000	-804.002374	1	0.000238	0.000199	0.000499	0.004071	0.021593	0.008445	0.011889	0.040723	0.020684	0.031846	0.000900	0.000833	0.004968	0.234045	0.745487	0.015500	
35000	-806.397182	1	0.000232	0.000439	0.000174	0.004167	0.067029	0.000055	0.022132	0.069854	0.017746	0.024401	0.000838	0.000953	0.007874	0.265428	0.719727	0.006971	
36000	-798.697925	1	0.000407	0.000078	0.000511	0.001509	0.044019	0.000239	0.021688	0.054918	0.022521	0.024349	0.000366	0.000193	0.010180	0.098781	0.888910	0.002129	
37000	-800.721930	1	0.000507	0.000011	0.000365	0.002034	0.046787	0.001926	0.027016	0.076190	0.026455	0.025862	0.000522	0.000083	0.005639	0.183049	0.809610	0.001702	
38000	-804.316461	1	0.000125	0.000314	0.000281	0.007609	0.038856	0.003458	0.018545	0.074451	0.015188	0.027811	0.001045	0.000807	0.002887	0.285380	0.703797	0.007936	
39000	-804.236574	1	0.000334	0.000132	0.000593	0.005347	0.058811	0.003874	0.019621	0.098625	0.023792	0.026736	0.000759	0.000026	0.004526	0.353847	0.639371	0.002256	
40000	-803.921306	1	0.000452	0.000263	0.000356	0.011951	0.039453	0.004478	0.007819	0.054760	0.015171	0.023643	0.000466	0.000041	0.038642	0.527128	0.429989	0.004242	
41000	-799.768259	1	0.000450	0.000056	0.000393	0.000980	0.035688	0.002732	0.018375	0.027450	0.015636	0.028181	0.000459	0.000159	0.005494	0.097933	0.893890	0.002682	
42000	-803.055353	1	0.000336	0.000189	0.000193	0.000346	0.035918	0.000854	0.032229	0.054101	0.040680	0.029776	0.000496	0.000377	0.003408	0.234184	0.759340	0.003067	
43000	-804.457252	1	0.000222	0.000188	0.000662	0.000784	0.049152	0.002606	0.018992	0.066679	0.025984	0.029681	0.001116	0.002146	0.005074	0.134562	0.820349	0.040014	
