q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.095886,0.095107,0.098307,0.097543,0.085026,0.089154,0.006969,0.096443,0.070225,0.070472,0.09215,0.061009
0.097063,0.096576,0.097958,0.076376,0.059214,0.095988,0.003993,0.088093,0.049672,0.081555,0.093165,0.071529
0.094279,0.088185,0.098609,0.058815,0.088502,0.095547,0.004945,0.096376,0.077397,0.096146,0.07368,0.063559
0.094162,0.078218,0.09849,0.050854,0.091779,0.097869,0.007808,0.060201,0.080623,0.082957,0.034744,0.039478
0.095204,0.091617,0.098967,0.030394,0.077445,0.088031,0.007839,0.071447,0.09252,0.078673,0.017451,0.033184
0.096223,0.082679,0.099428,0.015271,0.082964,0.088573,0.010557,0.086644,0.069124,0.082336,0.014308,0.03711
0.092337,0.0956,0.098869,0.015565,0.043032,0.069858,0.012071,0.087347,0.088367,0.083503,0.012196,0.054395
0.099547,0.056714,0.090073,0.020142,0.04632,0.063638,0.014148,0.080074,0.071066,0.093654,0.025813,0.076126
0.099881,0.087865,0.098958,0.01214,0.039297,0.06597,0.018864,0.091089,0.06693,0.09075,0.017174,0.066957
0.09611,0.089162,0.093967,0.015705,0.055929,0.026818,0.01858,0.073923,0.068529,0.086842,0.016313,0.072083
0.09758,0.098928,0.096293,0.047925,0.069725,0.017959,0.012489,0.088362,0.095102,0.086758,0.017434,0.088736
0.093732,0.040413,0.095239,0.047924,0.021674,0.01204,0.04711,0.069487,0.070474,0.099983,0.061727,0.057344
0.098634,0.053545,0.093177,0.017698,0.01627,0.028942,0.042705,0.025923,0.037102,0.08241,0.064353,0.079841
0.096933,0.093361,0.096645,0.012715,0.037215,0.023521,0.098607,0.025264,0.022729,0.072271,0.036543,0.071637
0.098502,0.090807,0.096054,0.010264,0.025226,0.021562,0.070701,0.015761,0.042335,0.098925,0.086774,0.066018
0.098028,0.093618,0.097983,0.007277,0.030625,0.042293,0.091514,0.00725,0.062142,0.096093,0.090462,0.096975
0.095349,0.088387,0.094259,0.006127,0.024368,0.020893,0.094745,0.011301,0.039203,0.057365,0.07863,0.071572
0.099847,0.077736,0.095823,0.017798,0.047071,0.032233,0.093457,0.010364,0.046351,0.040473,0.0867,0.076051
0.093446,0.091834,0.099878,0.011996,0.023511,0.077059,0.02334,0.013378,0.062954,0.036659,0.080521,0.083604
0.096783,0.097465,0.095966,0.006553,0.016937,0.062399,0.037996,0.026824,0.055829,0.026345,0.094874,0.059938
0.089044,0.076279,0.099995,0.006552,0.023229,0.037816,0.039937,0.022678,0.097932,0.051069,0.064218,0.06731
0.09903,0.095898,0.099941,0.00728,0.035268,0.034769,0.032528,0.009406,0.08399,0.09365,0.094461,0.091491
0.087923,0.096527,0.099892,0.006784,0.073297,0.061426,0.021284,0.016711,0.087235,0.097028,0.07405,0.079545
0.079145,0.098769,0.091425,0.003706,0.070293,0.047664,0.047188,0.023191,0.06563,0.068766,0.082536,0.096688
0.09099,0.096175,0.099823,0.004754,0.04769,0.03551,0.097895,0.078261,0.043863,0.089603,0.094154,0.087557
