q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000203,0.000117,0.000245,0.001032,0.025245,0.008724,0.012581,0.028296,0.006189,0.016079,7.4e-05,0.000661
1.3e-05,0.000339,0.000548,0.008534,0.036258,0.00314,0.004999,0.061935,0.007874,0.015902,0.000504,0.002563
0.000167,0.000338,0.000367,0.009752,0.040463,0.002234,0.007089,0.073908,0.010643,0.016346,0.000121,0.000463
5.4e-05,0.000297,0.000267,0.005689,0.052962,0.005871,0.013844,0.097559,0.0036,0.013854,0.000118,0.000502
0.000289,0.000143,0.000243,0.006445,0.049601,0.000499,0.003609,0.060096,0.017231,0.013898,0.000776,0.001211
0.000279,0.000122,0.000166,0.002658,0.053149,0.004575,0.012711,0.087246,0.004193,0.014162,0.000384,0.001402
0.000296,2.3e-05,0.000338,0.000409,0.014686,0.003758,0.022489,0.011363,0.006124,0.014182,0.000556,0.002437
0.000153,0.000126,0.000314,0.000749,0.021449,0.003114,0.018148,0.023644,0.008325,0.014556,0.000379,0.000635
0.000206,0.000146,0.00041,0.001851,0.027206,0.000966,0.015435,0.034905,0.014956,0.018446,0.000241,0.000573
0.000276,0.000162,0.000206,7.3e-05,0.026324,0.000288,0.028988,0.023975,0.012712,0.013102,0.000134,0.001638
0.000245,4.6e-05,0.000218,2.8e-05,0.023888,0.000956,0.01928,0.019484,0.015116,0.015441,0.000121,0.00074
0.000362,6.5e-05,0.00028,0.000846,0.025388,0.000528,0.014087,0.018843,0.008945,0.013342,0.000631,0.000194
0.000187,0.000255,0.000397,0.002231,0.044132,0.00341,0.012248,0.066712,0.009979,0.01863,0.000345,0.000253
0.000383,3.3e-05,0.000287,0.004744,0.023961,0.006358,0.008205,0.033912,0.002299,0.015063,8.7e-05,0.0006
0.000168,0.000125,0.000265,0.002268,0.045144,0.006461,0.026567,0.088986,0.002477,0.014385,0.000351,0.000603
0.000323,0.000137,0.000276,0.008727,0.013144,0.003095,0.001753,0.029077,0.004984,0.013513,0.0009,0.000383
0.000128,0.000245,0.000219,0.010023,0.009653,0.008496,5.9e-05,0.028585,0.002314,0.0141,0.000754,8.7e-05
0.000132,9.7e-05,0.000341,0.021139,0.00164,0.001049,0.000478,0.016665,0.007457,0.015399,0.00241,3.8e-05
0.000268,0.000109,0.00047,0.003127,0.042078,0.002774,0.015522,0.053549,0.006505,0.014531,0.002127,0.001064
0.000124,0.000343,0.000172,0.000269,0.018231,0.002245,0.018261,0.024583,0.007597,0.013771,0.000529,0.000301
4.3e-05,0.000238,0.000362,0.000924,0.011384,0.004499,0.020574,0.011136,0.003191,0.016688,0.000168,7.7e-05
0.000225,0.000129,0.000336,0.000526,0.018969,0.000577,0.017915,0.014405,0.014843,0.018341,0.000313,0.000382
0.000115,0.000166,0.000233,0.002124,0.021763,0.000652,0.022846,0.013592,0.010299,0.014274,0.001024,0.000555
0.000216,0.000156,0.000274,0.002825,0.01582,0.000847,0.013287,0.02131,0.017275,0.018741,0.000256,0.000941
0.000268,0.000109,0.000222,0.000446,0.052793,0.006276,0.019642,0.09261,0.004179,0.015166,3.2e-05,0.00046
0.000255,6.6e-05,0.000205,0.001055,0.011847,0.006055,0.026558,0.020291,0.003228,0.01673,2.1e-05,0.001003
0.000257,0.000112,0.00019,0.002867,0.041578,0.002892,0.013876,0.072404,0.009621,0.015285,7.4e-05,0.000359
0.000375,9e-05,0.000326,0.002898,0.047442,0.002089,0.013698,0.079131,0.012321,0.011535,0.000739,0.000244
0.000228,4.4e-05,0.000247,0.001125,0.036407,0.003138,0.013263,0.047986,0.010885,0.017241,0.000663,0.000195
0.000269,9.4e-05,0.000341,0.002308,0.020083,0.002952,0.016671,0.025842,0.009901,0.014655,0.00019,0.000325
0.000283,6.5e-05,0.000246,0.00575,0.012282,0.00065,0.010582,0.006856,0.017825,0.017679,0.000179,0.000235
0.000217,0.000171,0.000327,0.002587,0.020837,0.000497,0.018283,0.020832,0.008442,0.014685,5.7e-05,2.2e-05
0.000278,2.3e-05,0.000341,0.005101,0.046203,0.00272,0.016397,0.070802,0.005785,0.01437,0.000173,0.000506
0.000344,0.000187,5.9e-05,0.001555,0.01341,0.003436,0.018671,0.022262,0.015715,0.016279,0.000114,0.000447
0.000219,0.000146,0.000193,0.005314,0.023465,0.006011,0.00466,0.039889,0.005653,0.017203,0.000203,0.000635
0.000198,0.000122,0.000182,0.014168,0.007977,0.00867,0.002632,0.022509,0.001358,0.01465,0.000598,0.000225
0.000308,0.000118,0.000255,0.013131,0.010247,0.006227,0.000817,0.030632,0.002238,0.013343,0.000682,5.6e-05
0.00023,7.8e-05,0.00035,0.016868,0.006505,0.004944,0.000107,0.023641,0.002613,0.015392,0.000305,0.000437
0.000264,0.00024,0.000251,0.003332,0.057332,0.001834,0.010851,0.07081,0.013421,0.01524,0.000714,0.000122
0.000292,9.4e-05,0.000161,0.006609,0.025595,0.001386,0.002545,0.038503,0.015079,0.016808,0.00032,2.7e-05
0.000266,8.5e-05,0.00022,0.004614,0.02365,0.001623,0.006666,0.023825,0.007758,0.014318,0.000109,0.000254
7e-05,0.000212,0.000294,0.003732,0.034088,0.007481,0.008779,0.08332,0.007398,0.017267,0.000112,0.000814
0.000421,3.4e-05,0.000297,0.000551,0.04676,0.005889,0.016822,0.055078,0.003283,0.015431,0.000133,0.000786
0.000278,0.000172,0.000305,0.000588,0.018164,0.004079,0.020775,0.017665,0.003769,0.01409,0.000179,0.000989
0.000268,0.000104,0.000324,0.000456,0.065795,0.000582,0.016254,0.085611,0.01783,0.016777,0.001118,0.00072
8.5e-05,0.000302,0.000241,9.1e-05,0.026227,0.001145,0.017386,0.035513,0.012012,0.014317,0.000214,0.000786
0.000233,0.000212,0.000375,0.000579,0.056248,0.00129,0.018558,0.08929,0.016644,0.014655,0.000429,0.00062
0.000256,0.000145,0.000222,0.001324,0.030493,0.001177,0.01491,0.036828,0.011657,0.01617,0.00032,0.000381
0.000353,0.000142,0.000233,0.012402,0.069182,0.00307,0.002064,0.092445,0.008525,0.016326,0.00077,0.000469
0.000229,5e-05,0.000153,0.011948,0.006259,0.009572,0.000966,0.015612,0.001152,0.014506,0.000942,0.000593
0.000264,0.000111,0.000299,0.016543,0.004683,0.005366,0.000927,0.020329,0.001847,0.012947,0.000529,0.000132
0.000161,0.000207,0.000214,0.011462,0.044367,0.003488,0.004362,0.067845,0.005092,0.013588,0.000206,0.000616
0.000413,6.4e-05,0.000246,0.009057,0.055928,0.007795,0.005757,0.074892,0.002401,0.0163,0.000356,0.000244
0.000242,0.000112,0.00025,0.013416,0.004154,0.009696,0.001025,0.018977,0.001474,0.016643,0.000313,0.000543
0.000426,0.000107,0.000194,0.011003,0.018534,0.003455,0.000623,0.026362,0.008732,0.016752,0.00021,0.00017
0.000271,9e-05,0.000318,0.009943,0.010606,0.006592,0.000256,0.032232,0.000648,0.015285,0.000204,0.00034
