Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1448082637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
26000	-270.092866	37	6.904964	0.163034	0.817246	94.694177	38.665736	92.872486	34.372877	17.561669	41.459844	6.877661	27.959706	9.837209	0.621242	0.212528	0.121011	0.045219	
27000	-267.380474	82	4.738973	0.212685	1.974015	79.520872	18.991089	75.867591	3.663101	21.555400	2.671355	9.944208	24.577125	3.149676	0.708884	0.217945	0.022495	0.050676	
28000	-270.655044	26	3.940226	0.013893	2.003912	61.444063	15.977914	75.089085	55.879245	34.248276	8.653102	17.079987	17.541165	14.441256	0.488633	0.187729	0.234733	0.088905	
29000	-270.286523	85	6.905542	0.321548	3.135444	83.759814	12.844021	72.863773	12.973432	2.541558	19.172852	37.295790	12.392585	8.476059	0.560052	0.250710	0.039453	0.149785	
30000	-273.766867	86	2.768130	1.429087	3.459834	73.445659	24.105929	62.380423	28.066886	68.451917	26.969550	13.820729	17.510214	5.842026	0.570311	0.217565	0.148054	0.064070	
31000	-270.954519	2	3.929540	0.714462	1.585132	73.446589	19.419807	67.613999	38.282022	84.630816	3.100457	2.411547	12.090698	13.546377	0.600840	0.189192	0.188865	0.021103	
32000	-275.191656	76	4.581041	0.389950	5.104993	93.036628	34.998979	5.179496	75.555401	86.366067	1.269956	5.418065	7.955572	33.336959	0.368904	0.281741	0.273456	0.075900	
33000	-268.260063	73	6.391827	0.034579	1.434833	99.742341	29.257919	43.682327	26.858323	2.176532	47.535423	17.438285	19.120957	4.863018	0.558061	0.272689	0.088683	0.080568	
34000	-272.055704	27	6.000040	0.209140	0.537432	83.429739	58.382713	67.640496	23.059549	65.352086	29.533252	9.048176	14.708365	9.002072	0.645144	0.202192	0.115886	0.036779	
35000	-273.211266	99	2.286490	0.866774	1.863844	62.776208	26.988116	35.228891	25.519153	34.339469	46.918735	17.768089	5.810478	9.200400	0.601373	0.220846	0.114111	0.063671	
36000	-272.536293	86	3.553313	0.709993	2.412733	76.127911	37.656592	10.389226	32.901172	40.729110	37.878384	3.166495	21.462370	6.194755	0.535650	0.278973	0.148408	0.036968	
37000	-271.084315	33	3.493857	0.215468	4.538244	58.765566	0.715323	45.995139	0.929462	10.312751	21.423504	42.611037	14.854330	9.023469	0.533068	0.253557	0.024990	0.188385	
38000	-273.356879	65	4.701892	0.590120	2.274551	63.978093	39.146419	60.357489	50.727133	78.534342	53.650303	17.486783	28.291274	6.325028	0.525008	0.201487	0.184514	0.088991	
39000	-271.145348	69	3.239985	0.072737	2.653073	83.858642	46.967225	40.743962	0.714063	8.930966	22.933519	30.994609	24.806620	4.464196	0.587383	0.233555	0.019885	0.159176	
40000	-272.527251	67	2.646440	0.148239	3.029856	78.347176	1.259484	55.490214	6.333977	47.645313	15.576119	4.857031	5.154945	22.109600	0.656605	0.250234	0.073509	0.019652	
41000	-274.247838	71	4.210228	0.623081	3.516297	58.200388	48.714218	97.165335	63.772187	88.225185	5.547739	22.870787	4.251033	18.749285	0.506055	0.175408	0.222765	0.095772	
42000	-274.149896	21	5.218146	0.053503	1.987184	41.693708	63.809887	79.259743	59.150163	50.057279	78.177156	12.296609	17.725971	29.050044	0.610200	0.145313	0.175269	0.069218	
43000	-270.646750	45	5.077880	0.012975	1.831822	76.151786	58.819125	51.925717	91.918596	70.517142	63.017700	1.497771	3.474474	35.162004	0.536752	0.209448	0.218960	0.034841	
44000	-274.467035	92	4.855043	1.076016	3.417051	92.217984	27.256027	73.529855	12.691546	46.157231	0.975013	2.882011	32.165768	12.169286	0.623433	0.238933	0.096083	0.041551	
45000	-271.593830	96	4.352929	0.276710	3.562526	77.891431	37.281428	53.396797	26.703017	39.801928	11.412343	8.404382	10.648284	7.615888	0.614200	0.216520	0.137499	0.031781	
46000	-272.559832	69	5.378224	1.068670	0.449726	88.202418	15.311713	52.313410	36.606938	71.767149	1.573905	10.579874	5.413093	23.049074	0.496246	0.239595	0.209499	0.054660	
47000	-269.875133	6	6.392721	0.827411	0.533013	90.977472	3.098112	90.608677	58.676509	65.521465	2.638774	11.330281	21.527153	13.512958	0.490949	0.204741	0.238577	0.065732	
48000	-271.178505	56	5.650475	0.424242	1.963217	78.780404	32.483541	69.668263	20.297436	29.483507	55.397374	25.792691	7.588049	7.718726	0.590724	0.216475	0.096861	0.095941	
