Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3595566285
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-1166.023170	1	4.312577	2.393466	2.072578	95.929482	30.913888	47.090797	56.080817	69.549011	98.898358	31.826243	66.496332	24.479240	0.250000	0.250000	0.250000	0.250000	
26000	-1167.156421	1	6.202360	0.193783	3.712581	21.941442	64.681802	83.604082	82.787681	57.365928	70.526585	96.948759	28.495847	24.874779	0.250000	0.250000	0.250000	0.250000	
27000	-1164.093782	1	1.888899	0.974075	2.759782	45.383156	27.719716	65.895096	47.129830	14.789801	50.093529	32.598556	80.029084	12.804868	0.250000	0.250000	0.250000	0.250000	
28000	-1163.519125	1	5.988486	0.046685	3.041055	85.726218	63.207772	81.471109	28.512176	70.492143	31.652509	67.958219	40.241648	7.898562	0.250000	0.250000	0.250000	0.250000	
29000	-1163.043607	1	7.142158	0.553160	0.064819	52.858170	65.226522	83.783161	90.385517	49.401892	88.247889	52.693527	9.900987	47.506149	0.250000	0.250000	0.250000	0.250000	
30000	-1163.689660	1	7.010469	0.635639	3.567140	94.558172	47.962089	78.336965	83.962537	87.650896	85.794497	71.517594	5.961220	68.171822	0.250000	0.250000	0.250000	0.250000	
31000	-1166.662842	1	3.395135	1.516477	1.138351	74.276955	71.920061	71.615546	68.887906	73.996219	68.693489	9.888546	57.650075	17.836821	0.250000	0.250000	0.250000	0.250000	
32000	-1163.085198	1	2.120916	0.160784	5.817741	73.964791	49.488663	70.654322	19.848026	64.303291	43.175335	74.738393	95.551524	12.261153	0.250000	0.250000	0.250000	0.250000	
33000	-1165.700344	1	2.700608	0.158328	8.665948	52.552396	69.715648	59.521427	88.463649	64.694275	90.065164	91.365245	55.583478	48.618238	0.250000	0.250000	0.250000	0.250000	
34000	-1164.837302	1	1.699008	0.844783	7.100090	54.204763	41.899225	74.145411	39.330705	86.781000	71.316110	91.088131	57.818101	25.421539	0.250000	0.250000	0.250000	0.250000	
35000	-1164.100741	1	3.913198	2.044778	3.925542	93.601714	52.033144	23.837461	80.253743	59.949329	59.193227	70.971318	27.411485	26.866703	0.250000	0.250000	0.250000	0.250000	
36000	-1163.357358	1	1.865220	0.434729	6.436410	47.201028	47.060733	21.399443	91.799084	33.707952	91.305766	78.340166	32.858505	55.561005	0.250000	0.250000	0.250000	0.250000	
37000	-1163.787561	1	2.378279	0.624227	3.535051	61.895522	46.551584	71.710357	49.679500	83.065211	15.531553	40.617754	62.269872	8.415074	0.250000	0.250000	0.250000	0.250000	
38000	-1163.250324	1	2.421758	0.832220	3.447107	68.896485	56.275422	15.543235	68.095381	93.758106	52.458356	34.414806	20.295514	31.087436	0.250000	0.250000	0.250000	0.250000	
39000	-1163.831371	1	6.705387	1.388284	2.170705	70.229003	36.556594	85.779914	55.967270	28.608540	73.462221	89.780899	12.631885	12.724869	0.250000	0.250000	0.250000	0.250000	
40000	-1163.067289	1	4.803746	0.821597	2.233520	98.471017	49.323812	68.184205	51.750585	76.895000	39.971053	36.336050	59.813023	17.364972	0.250000	0.250000	0.250000	0.250000	
41000	-1166.619177	1	7.314861	4.059478	0.856770	95.264870	13.905358	92.688621	89.609538	84.880783	81.694499	90.520019	6.799540	0.838940	0.250000	0.250000	0.250000	0.250000	
42000	-1162.956153	1	2.862938	0.353411	1.889808	51.033837	27.642218	53.820799	41.402006	77.113726	7.889340	33.082081	19.298017	26.439833	0.250000	0.250000	0.250000	0.250000	
43000	-1164.700088	1	1.823506	0.771089	2.691440	76.955057	37.379338	61.724002	58.049588	59.795969	39.211053	11.981547	74.371667	38.275600	0.250000	0.250000	0.250000	0.250000	
44000	-1164.657572	1	1.115718	0.623771	4.146501	66.709649	99.668765	35.281864	80.811394	81.432771	32.592474	2.699475	94.753274	8.716731	0.250000	0.250000	0.250000	0.250000	
45000	-1164.328036	1	2.072328	1.293366	1.143920	38.364534	61.774977	8.658385	77.933948	57.424129	39.380945	4.763042	22.364497	21.968920	0.250000	0.250000	0.250000	0.250000	
46000	-1166.371001	1	0.107381	3.256293	6.927014	75.036205	14.012874	8.012367	36.864011	72.285440	70.085713	91.705550	30.305240	41.189143	0.250000	0.250000	0.250000	0.250000	
47000	-1164.767467	1	2.060372	1.262851	3.023799	50.077244	7.408350	99.470994	23.403535	71.590062	72.623988	72.310202	64.641364	39.172961	0.250000	0.250000	0.250000	0.250000	
48000	-1163.577622	1	4.923405	0.753625	4.297073	69.870595	76.644891	19.633780	41.921362	55.614399	99.277654	97.466579	4.397269	25.649280	0.250000	0.250000	0.250000	0.250000	
49000	-1165.193222	1	3.656706	0.694427	3.376716	57.550827	86.018073	51.918324	72.132528	76.781580	38.808847	54.897386	70.895302	12.884696	0.250000	0.250000	0.250000	0.250000	
50000	-1163.777622	1	2.444688	0.168141	5.952565	71.710358	58.502033	75.851789	43.726076	89.508412	51.524575	78.455479	87.646907	40.621428	0.250000	0.250000	0.250000	0.250000	
51000	-1163.026005	1	3.131128	3.049462	1.957989	64.548093	62.447913	75.038529	86.533605	72.017891	83.110653	47.185995	70.388897	11.758627	0.250000	0.250000	0.250000	0.250000	
52000	-1164.462967	1	3.363585	0.265503	4.903264	70.586724	32.407517	22.446726	87.577130	55.358201	53.808591	60.066009	5.798488	43.316151	0.250000	0.250000	0.250000	0.250000	
53000	-1166.147632	1	4.734051	1.559596	2.351766	84.431158	50.791479	7.724416	21.013249	91.363855	97.413246	81.268702	8.934220	9.969743	0.250000	0.250000	0.250000	0.250000	
54000	-1164.410887	1	0.414264	1.411314	3.690664	42.426204	34.988579	50.901022	88.974501	67.206816	11.648419	20.379099	44.386540	38.258050	0.250000	0.250000	0.250000	0.250000	
55000	-1164.410026	1	4.455002	0.817003	3.610647	81.900729	27.630402	90.841988	74.898972	75.249600	97.905839	44.473171	70.663932	79.841940	0.250000	0.250000	0.250000	0.250000	
56000	-1164.453714	1	2.039838	0.279022	6.305398	80.015422	10.848487	3.975947	11.079430	44.737015	99.172911	69.022377	31.383132	54.816337	0.250000	0.250000	0.250000	0.250000	
57000	-1164.924962	1	3.484844	2.818817	4.944619	90.214194	51.760366	86.833345	70.026001	80.750832	67.692566	90.630070	52.681637	4.618246	0.250000	0.250000	0.250000	0.250000	
58000	-1163.531408	1	1.074766	1.960434	7.076000	92.186762	13.763629	71.473472	87.707057	36.341330	86.747976	66.376445	89.004131	35.876333	0.250000	0.250000	0.250000	0.250000	
59000	-1164.015107	1	5.588037	0.951638	2.998627	76.187143	68.413414	76.461881	94.416380	54.718151	47.743392	52.328800	42.499581	21.617103	0.250000	0.250000	0.250000	0.250000	
60000	-1163.972163	1	1.820796	0.276018	7.853213	74.390763	58.453079	56.955612	66.797121	22.184353	30.541282	86.881105	96.317856	15.322588	0.250000	0.250000	0.250000	0.250000	
61000	-1164.633837	1	2.632589	2.207421	1.968600	0.352452	29.142135	88.188151	54.953489	64.056960	44.885180	79.961961	11.486736	6.861074	0.250000	0.250000	0.250000	0.250000	
62000	-1164.511553	1	2.919566	0.980457	0.315651	7.264760	44.021956	76.141896	68.202659	43.154050	26.705096	47.517574	33.648335	0.821465	0.250000	0.250000	0.250000	0.250000	
63000	-1164.490936	1	4.946790	0.714424	5.597764	79.490451	60.009077	72.579708	54.269905	25.014561	65.581560	89.367279	63.584364	12.014588	0.250000	0.250000	0.250000	0.250000	
64000	-1163.764005	1	0.397560	3.128147	4.680365	35.591720	28.564416	33.110710	74.819893	80.288606	64.531134	87.060487	44.414162	4.694173	0.250000	0.250000	0.250000	0.250000	
65000	-1162.919938	1	2.799288	1.624536	6.866182	93.171384	54.891901	77.496862	68.865229	76.824899	34.993832	95.981285	92.118114	4.207209	0.250000	0.250000	0.250000	0.250000	
66000	-1164.342406	1	1.868272	1.170156	1.942695	53.523160	83.275252	89.047001	9.074887	84.905025	65.190022	42.347005	78.745257	5.673056	0.250000	0.250000	0.250000	0.250000	
67000	-1163.235851	1	5.441347	2.024406	2.418431	97.036501	72.298524	63.813538	84.555182	68.971552	36.130405	50.357985	55.178320	0.549028	0.250000	0.250000	0.250000	0.250000	
68000	-1162.946822	1	8.530763	1.440992	1.280763	97.231201	72.385428	65.308873	79.369944	39.854299	88.292896	85.539290	16.572723	3.568566	0.250000	0.250000	0.250000	0.250000	
69000	-1164.225800	1	1.715520	1.254788	3.658961	29.421995	19.138810	8.644412	48.929266	9.513132	81.703653	74.022227	8.708444	38.869554	0.250000	0.250000	0.250000	0.250000	
70000	-1163.657295	1	1.604716	2.191456	5.190988	84.374278	31.248344	60.461705	39.983339	69.519984	71.349251	77.868566	91.326612	17.433166	0.250000	0.250000	0.250000	0.250000	
71000	-1165.460190	1	1.757719	0.420747	7.085475	72.781903	11.851797	17.522432	62.239744	56.119705	68.016620	67.858945	35.226666	42.038455	0.250000	0.250000	0.250000	0.250000	
72000	-1163.588675	1	0.189482	2.122135	4.465041	37.179121	19.480651	65.773900	46.174870	70.903349	94.938157	65.218807	73.275616	36.785493	0.250000	0.250000	0.250000	0.250000	
73000	-1163.298891	1	1.141261	3.138251	6.228648	85.655507	4.970270	92.977937	33.330644	99.720350	13.167330	94.187744	68.408848	13.381757	0.250000	0.250000	0.250000	0.250000	
74000	-1164.444437	1	3.210980	2.888022	0.518528	36.305383	33.675048	56.911423	64.632453	33.787596	58.876577	53.205147	15.588495	10.759738	0.250000	0.250000	0.250000	0.250000	
75000	-1163.348008	1	4.435478	0.442781	1.771230	69.510424	36.427572	92.140818	87.974436	74.246602	17.412492	29.192974	41.318123	32.835265	0.250000	0.250000	0.250000	0.250000	
76000	-1164.786136	1	0.682681	2.379281	1.808511	43.100741	37.606184	41.554551	95.543103	29.718432	84.353116	3.088862	53.522318	34.039418	0.250000	0.250000	0.250000	0.250000	
77000	-1163.495421	1	2.217397	0.832781	3.316701	38.963973	61.343606	25.991132	94.247439	34.501699	78.625726	45.728194	49.582557	20.999162	0.250000	0.250000	0.250000	0.250000	
78000	-1164.024515	1	1.406713	1.748885	6.546273	62.496467	20.325759	69.485054	75.457033	40.891533	10.207315	96.747120	87.938180	0.197191	0.250000	0.250000	0.250000	0.250000	
79000	-1164.251566	1	5.788140	2.854251	0.228479	94.484932	26.364651	87.569548	42.394479	62.528930	80.567990	60.797152	57.783665	5.397017	0.250000	0.250000	0.250000	0.250000	
80000	-1165.070838	1	3.704103	0.411651	5.133937	58.578186	13.134374	75.926215	93.364928	29.694729	71.816054	63.640028	51.324366	49.532421	0.250000	0.250000	0.250000	0.250000	
81000	-1164.983380	1	5.216983	0.214409	2.227603	68.458522	16.457411	65.892711	73.864453	69.111531	63.718858	46.000007	19.282266	69.748572	0.250000	0.250000	0.250000	0.250000	
82000	-1164.486924	1	3.706346	0.312216	4.971103	92.851058	37.339316	63.965520	54.040270	24.461365	44.525230	57.275092	93.940449	6.396076	0.250000	0.250000	0.250000	0.250000	
83000	-1166.242377	1	0.239827	1.638247	8.603736	80.400446	14.845221	88.615156	54.475151	54.851394	83.143629	79.695352	80.330919	36.912130	0.250000	0.250000	0.250000	0.250000	
84000	-1167.445583	1	4.582320	1.181943	5.056106	85.406270	6.160758	56.799625	78.444370	31.131072	5.401579	73.517300	60.497351	30.654682	0.250000	0.250000	0.250000	0.250000	
85000	-1163.293170	1	3.930833	0.666470	1.355203	47.746094	0.449283	64.391412	31.686266	9.218698	79.245094	49.146648	13.849462	46.869621	0.250000	0.250000	0.250000	0.250000	
86000	-1167.255371	1	4.475718	3.804319	1.273527	67.402204	55.573093	52.361955	79.059100	60.316150	99.490302	50.676537	36.731933	23.503425	0.250000	0.250000	0.250000	0.250000	
87000	-1164.058406	1	1.647098	0.572657	5.794660	90.021377	8.155078	12.262100	45.786280	41.374879	82.847377	61.337357	38.016562	62.995841	0.250000	0.250000	0.250000	0.250000	
88000	-1163.974863	1	5.581507	0.236682	3.625259	75.422148	20.279683	69.398047	71.836717	17.195175	19.283265	66.077174	26.314753	19.165450	0.250000	0.250000	0.250000	0.250000	
89000	-1164.256743	1	5.793181	0.229875	0.921271	83.989528	83.572792	25.658903	88.156743	17.098055	61.107439	29.533789	19.100909	12.492784	0.250000	0.250000	0.250000	0.250000	
90000	-1164.346062	1	3.626745	0.061239	2.928151	19.971499	24.406618	91.106164	31.113491	49.506194	96.858360	78.139360	37.193192	46.468146	0.250000	0.250000	0.250000	0.250000	
91000	-1164.804551	1	1.636039	1.173192	1.244217	13.514054	86.177923	43.833593	17.952135	81.543682	77.912497	45.680178	30.134219	12.479135	0.250000	0.250000	0.250000	0.250000	
92000	-1163.131827	1	1.291621	1.384244	5.721368	0.631520	94.513432	46.754369	88.810059	78.085034	60.699383	96.018342	47.629880	5.113398	0.250000	0.250000	0.250000	0.250000	
93000	-1163.014310	1	2.452361	1.519097	2.134826	26.017415	70.514143	69.663519	11.052834	74.178956	96.333082	83.296868	46.756795	1.939732	0.250000	0.250000	0.250000	0.250000	
94000	-1164.154902	1	1.588981	0.702011	2.657702	41.487024	94.441497	25.991774	79.081970	70.747466	77.921017	17.866757	60.932578	5.358047	0.250000	0.250000	0.250000	0.250000	
95000	-1166.398068	1	2.280675	0.230983	4.926702	37.936991	52.316082	54.987802	56.510674	64.846297	17.060253	80.676457	80.605409	4.227294	0.250000	0.250000	0.250000	0.250000	
96000	-1163.816552	1	2.141754	1.033117	1.395583	52.508583	51.700292	74.024266	52.439443	86.468645	79.491738	8.150274	63.007779	48.629563	0.250000	0.250000	0.250000	0.250000	
97000	-1163.443334	1	1.818051	3.075617	5.571371	83.814755	29.861298	65.622544	73.018484	90.264456	77.277013	77.441448	84.126617	25.836801	0.250000	0.250000	0.250000	0.250000	
98000	-1163.128975	1	2.475269	2.472074	5.081588	98.354906	22.050588	45.302775	89.439648	90.442766	43.477507	65.323754	37.241487	40.508651	0.250000	0.250000	0.250000	0.250000	
99000	-1163.266144	1	3.058353	2.229102	5.149853	80.922817	79.473361	69.719605	73.322487	83.484673	78.586306	95.208957	81.151431	6.870740	0.250000	0.250000	0.250000	0.250000	
100000	-1164.227019	1	3.190698	2.339909	3.297106	86.166546	70.166770	98.363488	25.982781	80.433115	71.940897	80.842404	74.443726	1.810055	0.250000	0.250000	0.250000	0.250000	
101000	-1167.078387	1	3.942069	1.665561	1.076846	72.418958	26.347671	59.346759	83.007588	70.154170	53.969486	47.513721	8.716952	27.262129	0.250000	0.250000	0.250000	0.250000	
102000	-1165.150483	1	1.249149	1.287942	3.548978	24.659491	71.590472	63.325174	79.737345	82.700757	66.853837	40.520541	78.578136	35.332364	0.250000	0.250000	0.250000	0.250000	
103000	-1164.409616	1	2.124575	0.956406	3.184744	19.879378	29.350160	96.650861	56.845666	67.686202	63.823464	78.444529	58.437479	29.360963	0.250000	0.250000	0.250000	0.250000	
104000	-1167.093978	1	3.534233	0.305248	1.012090	31.189074	63.591802	34.157154	77.404863	71.834739	85.117213	32.855456	27.898038	40.214903	0.250000	0.250000	0.250000	0.250000	
105000	-1166.102039	1	4.085013	0.529436	1.531410	34.394970	53.897041	88.235448	78.405578	89.666706	46.326113	41.245596	57.146215	49.673405	0.250000	0.250000	0.250000	0.250000	
106000	-1163.382791	1	0.967664	1.824365	7.337934	63.456370	30.777520	46.100763	59.991794	84.964272	64.870417	88.025835	51.918966	32.341402	0.250000	0.250000	0.250000	0.250000	
107000	-1165.199738	1	1.181804	1.259389	1.300013	1.574423	76.422138	26.705591	54.660735	90.072182	92.999504	34.404191	29.813910	28.949596	0.250000	0.250000	0.250000	0.250000	
108000	-1165.296879	1	6.038843	1.861380	3.808816	93.917382	78.172786	64.054013	87.889370	35.147391	78.073338	78.513513	37.770251	5.661162	0.250000	0.250000	0.250000	0.250000	
109000	-1163.516491	1	3.467372	1.321899	4.492132	97.142242	23.914361	64.559419	49.707526	70.247071	45.313235	72.432547	55.124760	32.324373	0.250000	0.250000	0.250000	0.250000	
110000	-1166.342237	1	3.046974	0.435163	7.353028	65.316810	0.534919	70.002465	71.386693	33.564748	79.578611	96.187378	13.548427	70.742279	0.250000	0.250000	0.250000	0.250000	
111000	-1164.791739	1	1.356932	2.657598	4.095673	87.705766	1.418789	31.446860	69.371067	62.994804	51.616304	32.932810	63.963980	25.549124	0.250000	0.250000	0.250000	0.250000	
112000	-1163.998563	1	4.606576	1.499568	4.052358	86.853298	17.264295	76.890973	38.318788	1.655212	65.109803	98.948554	68.450054	12.428663	0.250000	0.250000	0.250000	0.250000	
113000	-1165.675150	1	4.113264	2.992038	4.366184	75.445542	17.717223	76.294652	68.764325	2.719991	76.082051	81.753907	60.337340	4.866985	0.250000	0.250000	0.250000	0.250000	
114000	-1169.575937	1	0.692480	0.088751	9.982158	38.339625	45.063977	52.734801	98.635459	13.720373	18.805111	78.160272	57.805601	27.802587	0.250000	0.250000	0.250000	0.250000	
115000	-1164.443534	1	1.511857	0.128048	2.431835	3.445876	88.982458	62.619546	63.254019	70.446367	95.703751	31.192676	51.874001	52.986817	0.250000	0.250000	0.250000	0.250000	
116000	-1166.048015	1	0.530481	3.444098	5.323907	18.733589	18.153361	30.633363	92.900118	64.053571	29.583223	86.393785	18.999695	20.786900	0.250000	0.250000	0.250000	0.250000	
117000	-1163.259017	1	1.210834	4.276588	4.234140	39.975098	40.751692	15.405601	90.255712	65.475581	77.221738	95.881070	16.469463	1.979501	0.250000	0.250000	0.250000	0.250000	
118000	-1164.375611	1	0.167568	2.665424	3.378072	82.857011	27.747097	50.741397	80.049785	96.209151	90.320514	6.897389	89.781639	26.139234	0.250000	0.250000	0.250000	0.250000	
119000	-1164.860899	1	0.193082	0.076933	5.505275	92.636326	49.097436	43.197610	34.866158	64.432348	40.828986	16.381687	93.649218	12.196230	0.250000	0.250000	0.250000	0.250000	
120000	-1163.686844	1	0.273551	0.124583	5.522928	95.579683	20.856792	69.112497	80.108807	62.533893	67.521138	2.434628	89.470085	75.779833	0.250000	0.250000	0.250000	0.250000	
121000	-1164.076423	1	4.661917	0.586642	4.765380	69.256443	1.133709	80.830794	88.346415	11.708919	66.158530	78.481747	15.010062	66.663309	0.250000	0.250000	0.250000	0.250000	
122000	-1165.001248	1	3.368271	0.310150	3.936700	34.850661	43.083676	99.046192	79.710372	60.508947	4.327510	74.305965	29.041085	21.461531	0.250000	0.250000	0.250000	0.250000	
123000	-1164.370560	1	4.030869	1.316035	6.777916	97.808367	57.152732	80.775390	85.730924	80.059481	2.526441	77.169698	67.430211	17.811571	0.250000	0.250000	0.250000	0.250000	
124000	-1163.536929	1	3.142403	0.030717	4.365697	80.087380	33.826126	50.722526	8.826128	27.011977	64.611499	74.810068	52.228942	19.017473	0.250000	0.250000	0.250000	0.250000	
125000	-1162.968700	1	1.832898	0.458973	5.024795	69.401038	15.535804	54.431183	32.233369	3.960734	87.733840	55.542293	78.311029	31.158429	0.250000	0.250000	0.250000	0.250000	
126000	-1163.197457	1	1.104071	3.051383	0.458637	43.538466	13.092109	15.548637	76.573039	4.823783	66.791657	9.630461	31.006461	8.348046	0.250000	0.250000	0.250000	0.250000	
127000	-1164.203516	1	0.955599	2.112390	4.744541	25.782681	23.539920	28.139191	71.442301	76.455106	99.858668	92.028551	21.452595	42.539594	0.250000	0.250000	0.250000	0.250000	
128000	-1163.629240	1	3.800612	1.397473	0.648138	61.644312	49.118439	54.945948	93.534205	88.735569	57.671378	19.850947	18.586405	42.478990	0.250000	0.250000	0.250000	0.250000	
129000	-1165.013689	1	1.845602	1.392548	1.983034	27.110608	55.319895	51.629915	82.497134	80.418650	50.690648	26.234388	49.749154	15.141163	0.250000	0.250000	0.250000	0.250000	
130000	-1165.880289	1	2.316057	0.364285	7.084875	64.816541	13.974574	21.631266	62.582448	18.273651	43.262635	75.091455	48.601214	30.683422	0.250000	0.250000	0.250000	0.250000	
131000	-1163.793237	1	0.096066	0.229904	6.388355	63.148909	26.375184	16.369082	70.310938	72.978726	54.370465	42.926998	39.314595	53.949463	0.250000	0.250000	0.250000	0.250000	
