Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2447374639
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
26000	-425.520793	12	0.090985	0.092904	0.099867	0.031846	0.068414	0.073064	0.023056	0.086259	0.097227	0.094895	0.050992	0.051462	0.999999	0.000000	0.000000	0.000001	
27000	-430.164974	5	0.078070	0.097902	0.098123	0.024547	0.083545	0.080563	0.027497	0.064000	0.092689	0.054125	0.032703	0.063819	1.000000	0.000000	0.000000	0.000000	
28000	-426.953227	75	0.095297	0.090052	0.098660	0.022577	0.099413	0.087192	0.015061	0.067498	0.054591	0.087613	0.030111	0.039237	0.999999	0.000000	0.000000	0.000001	
29000	-429.638334	51	0.092801	0.096685	0.090731	0.011361	0.091543	0.083744	0.010694	0.050475	0.056740	0.090089	0.027889	0.037787	0.999999	0.000000	0.000000	0.000001	
30000	-425.966191	73	0.096433	0.099981	0.097245	0.016364	0.089717	0.092291	0.005626	0.058526	0.031847	0.074197	0.037347	0.062021	0.999999	0.000000	0.000000	0.000001	
31000	-426.841928	66	0.092430	0.092000	0.098953	0.021343	0.045338	0.098219	0.002738	0.027803	0.014107	0.077185	0.022792	0.090549	0.999999	0.000000	0.000000	0.000001	
32000	-426.407800	51	0.095059	0.095853	0.098407	0.011185	0.085372	0.066921	0.005917	0.077362	0.034445	0.095418	0.025880	0.079104	0.999999	0.000000	0.000000	0.000001	
33000	-428.313618	75	0.098142	0.061896	0.097766	0.009162	0.088559	0.062326	0.010631	0.055136	0.051026	0.098597	0.016445	0.099960	0.999999	0.000000	0.000000	0.000001	
34000	-427.297250	81	0.096736	0.076687	0.099032	0.007504	0.074254	0.058724	0.003080	0.056938	0.040030	0.082712	0.032068	0.074646	0.999999	0.000000	0.000000	0.000001	
35000	-429.674932	74	0.092173	0.099360	0.092147	0.010291	0.079597	0.063040	0.000879	0.039887	0.022965	0.066007	0.042413	0.055924	1.000000	0.000000	0.000000	0.000000	
36000	-425.384288	31	0.099393	0.096630	0.099618	0.003742	0.084869	0.092903	0.001672	0.063755	0.056874	0.076794	0.042027	0.048242	0.999999	0.000000	0.000000	0.000001	
37000	-429.247747	23	0.097588	0.093903	0.097127	0.000742	0.084958	0.043611	0.002391	0.034811	0.050792	0.050292	0.025557	0.028261	1.000000	0.000000	0.000000	0.000000	
38000	-429.468366	70	0.084323	0.085297	0.097714	0.000597	0.074972	0.052311	0.002122	0.051066	0.018829	0.097150	0.022218	0.092723	0.999999	0.000000	0.000000	0.000001	
39000	-425.706067	25	0.097110	0.097506	0.097820	0.001013	0.055874	0.095302	0.002988	0.057370	0.032158	0.096793	0.022849	0.081711	0.999999	0.000000	0.000000	0.000001	
40000	-425.244753	38	0.092689	0.098358	0.098710	0.001931	0.044247	0.099302	0.001330	0.052447	0.021981	0.085369	0.083900	0.074927	0.999999	0.000000	0.000000	0.000001	
41000	-428.487196	27	0.093315	0.094011	0.089766	0.001970	0.034521	0.078990	0.001139	0.055902	0.027492	0.094688	0.066111	0.066942	0.999999	0.000000	0.000000	0.000001	
42000	-431.203726	7	0.085106	0.068143	0.087245	0.002276	0.050818	0.088593	0.000488	0.082620	0.031341	0.089694	0.088485	0.091778	0.999999	0.000000	0.000000	0.000001	
43000	-425.886064	63	0.088389	0.096494	0.098895	0.003519	0.024748	0.092942	0.000524	0.066370	0.038053	0.099229	0.065076	0.070825	0.999999	0.000000	0.000000	0.000001	
44000	-423.644768	7	0.096382	0.098105	0.099269	0.008913	0.005658	0.085214	0.000942	0.067179	0.027520	0.091406	0.094339	0.080480	0.999999	0.000000	0.000000	0.000001	
45000	-428.051849	58	0.095885	0.070377	0.095949	0.011119	0.005884	0.050322	0.002047	0.049583	0.053831	0.097999	0.055347	0.044149	0.999999	0.000000	0.000000	0.000001	
46000	-429.505495	74	0.096764	0.060562	0.095865	0.019839	0.003428	0.082596	0.001186	0.050517	0.065610	0.067241	0.042963	0.065109	1.000000	0.000000	0.000000	0.000000	
47000	-426.595126	97	0.099309	0.082165	0.099423	0.061171	0.001331	0.092179	0.001912	0.036546	0.093632	0.078458	0.022459	0.035934	0.999999	0.000000	0.000000	0.000001	
48000	-428.742532	84	0.089209	0.092215	0.098393	0.018974	0.001742	0.094803	0.000618	0.031992	0.054613	0.076106	0.037020	0.029486	0.999999	0.000000	0.000000	0.000001	
49000	-429.067392	6	0.093717	0.086842	0.098579	0.020992	0.002021	0.059985	0.001318	0.038383	0.044818	0.052809	0.018036	0.043331	1.000000	0.000000	0.000000	0.000000	
50000	-431.427732	87	0.081592	0.093671	0.091958	0.035848	0.002138	0.086623	0.001210	0.037246	0.026011	0.084721	0.020970	0.064171	0.999999	0.000000	0.000000	0.000001	
51000	-425.965350	60	0.099747	0.077760	0.097951	0.039157	0.001253	0.060458	0.002029	0.044287	0.037374	0.091213	0.035880	0.088021	0.999999	0.000000	0.000000	0.000001	
52000	-426.221221	89	0.099224	0.099256	0.095076	0.032424	0.002419	0.047280	0.002266	0.063535	0.092869	0.097373	0.034331	0.072923	0.999999	0.000000	0.000000	0.000001	
53000	-425.933874	99	0.095065	0.096022	0.099841	0.047172	0.001716	0.059915	0.001702	0.066527	0.082849	0.089690	0.069544	0.037945	0.999999	0.000000	0.000000	0.000001	
54000	-424.358645	60	0.099090	0.096082	0.098164	0.018052	0.000774	0.042774	0.001219	0.089781	0.098608	0.094152	0.084195	0.046378	0.999999	0.000000	0.000000	0.000001	
55000	-427.534403	50	0.099202	0.069356	0.099178	0.016463	0.000549	0.033747	0.001470	0.045806	0.072142	0.073784	0.060941	0.088025	0.999999	0.000000	0.000000	0.000000	
