Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            643823919
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-799.331068	1	0.000237	0.000315	0.000330	0.001198	0.038778	0.000721	0.017929	0.061453	0.030147	0.026584	0.000619	0.000299	0.019966	0.072900	0.899006	0.008128	
26000	-805.316684	1	0.000107	0.000250	0.000474	0.006071	0.040760	0.006027	0.004426	0.068649	0.020348	0.032534	0.000421	0.001674	0.006821	0.277037	0.665307	0.050835	
27000	-802.709772	1	0.000182	0.000266	0.000583	0.006556	0.033248	0.006685	0.016502	0.047421	0.011426	0.025777	0.000247	0.000272	0.005059	0.286621	0.706664	0.001656	
28000	-801.798724	1	0.000502	0.000137	0.000371	0.003194	0.056295	0.000872	0.012475	0.097670	0.025280	0.026863	0.000454	0.000530	0.065214	0.130025	0.771152	0.033609	
29000	-805.661676	1	0.000030	0.000763	0.000172	0.000205	0.027631	0.004784	0.026620	0.035424	0.019334	0.025733	0.001721	0.000523	0.013736	0.065668	0.900734	0.019863	
30000	-801.540802	1	0.000266	0.000110	0.000299	0.000048	0.043834	0.011298	0.027708	0.071705	0.003845	0.025773	0.000834	0.000439	0.002944	0.277703	0.714750	0.004604	
31000	-802.553118	1	0.000358	0.000003	0.000449	0.003192	0.080081	0.001199	0.011414	0.094253	0.025492	0.027774	0.000879	0.001215	0.005009	0.251213	0.715338	0.028440	
32000	-802.961011	1	0.000451	0.000063	0.000494	0.001569	0.048066	0.006411	0.020925	0.094507	0.007516	0.022795	0.000032	0.000843	0.061360	0.111253	0.811879	0.015509	
33000	-802.249729	1	0.000370	0.000137	0.000543	0.000417	0.065074	0.000335	0.024167	0.093738	0.021246	0.029206	0.001613	0.000096	0.008019	0.160899	0.815302	0.015780	
34000	-805.902448	1	0.000073	0.000440	0.000403	0.008399	0.048113	0.000679	0.000305	0.050434	0.029831	0.031265	0.000486	0.000012	0.014067	0.309543	0.671063	0.005327	
35000	-803.327644	1	0.000310	0.000184	0.000572	0.006031	0.045874	0.000668	0.009829	0.048884	0.015074	0.027004	0.001038	0.000233	0.035120	0.147325	0.789202	0.028353	
36000	-811.131681	1	0.000131	0.000054	0.000347	0.000821	0.042472	0.002851	0.025710	0.064267	0.046070	0.027133	0.002372	0.000222	0.000483	0.391767	0.597151	0.010599	
37000	-805.172696	1	0.000013	0.000433	0.000235	0.006244	0.049064	0.004857	0.017273	0.077171	0.013910	0.020860	0.000683	0.000431	0.010519	0.281899	0.704343	0.003238	
38000	-802.489504	1	0.000310	0.000082	0.000391	0.003492	0.043276	0.000774	0.028150	0.061519	0.026518	0.025512	0.001498	0.000514	0.001898	0.268950	0.723888	0.005264	
39000	-804.027741	1	0.000180	0.000277	0.000471	0.001449	0.074857	0.000870	0.027444	0.077899	0.013809	0.022372	0.000946	0.000154	0.003661	0.278809	0.715864	0.001667	
40000	-807.554545	1	0.000126	0.000518	0.000716	0.001901	0.027917	0.010323	0.019014	0.048160	0.005023	0.026012	0.001065	0.001192	0.065364	0.090537	0.790685	0.053414	
41000	-804.953472	1	0.000500	0.000036	0.000490	0.004410	0.032389	0.000650	0.008220	0.040449	0.034189	0.028519	0.002462	0.000470	0.016580	0.086576	0.821764	0.075080	
42000	-802.454289	1	0.000420	0.000013	0.000343	0.005435	0.036573	0.000701	0.014753	0.069558	0.035607	0.027653	0.000418	0.000952	0.003487	0.170311	0.818475	0.007726	
