Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3923769647
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
25000	-901.630864	1	0.000208	0.000083	0.000318	0.001247	0.035603	0.000270	0.021514	0.056883	0.010213	0.012625	0.000296	0.001244	0.332998	0.140129	0.476492	0.050381	
26000	-904.377696	1	0.000355	0.000019	0.000296	0.007503	0.054694	0.002499	0.010433	0.085016	0.012404	0.018154	0.000262	0.001186	0.168127	0.363350	0.393461	0.075062	
27000	-901.626900	1	0.000163	0.000133	0.000142	0.011277	0.010122	0.009192	0.001876	0.030114	0.001120	0.016679	0.000345	0.001420	0.139859	0.620173	0.155336	0.084633	
28000	-900.643454	1	0.000358	0.000056	0.000231	0.004016	0.059528	0.010901	0.009218	0.085664	0.002294	0.015693	0.000246	0.000136	0.609141	0.145061	0.176454	0.069344	
29000	-900.673970	1	0.000260	0.000023	0.000424	0.002071	0.017999	0.000879	0.021359	0.013203	0.007234	0.012072	0.000849	0.000625	0.062803	0.105690	0.820312	0.011195	
30000	-901.359964	1	0.000289	0.000048	0.000264	0.000548	0.017378	0.001541	0.014205	0.013939	0.007937	0.014133	0.000128	0.002322	0.236571	0.042445	0.533119	0.187864	
31000	-899.498817	1	0.000216	0.000258	0.000317	0.000042	0.035495	0.000090	0.023273	0.050958	0.018181	0.014651	0.000613	0.000181	0.432850	0.108676	0.411279	0.047194	
32000	-901.721168	1	0.000227	0.000051	0.000449	0.000196	0.033565	0.000619	0.021646	0.034622	0.009125	0.014395	0.000659	0.001537	0.141534	0.161857	0.630019	0.066591	
33000	-897.471973	1	0.000173	0.000173	0.000224	0.000245	0.030522	0.000579	0.023377	0.035094	0.014228	0.017902	0.000206	0.000202	0.110077	0.189222	0.676904	0.023797	
34000	-897.332185	1	0.000243	0.000238	0.000323	0.004418	0.018869	0.000782	0.012921	0.024051	0.013259	0.016595	0.000096	0.000035	0.416981	0.095242	0.441665	0.046112	
35000	-898.626933	1	0.000139	0.000309	0.000237	0.001079	0.026272	0.001826	0.018798	0.034508	0.013575	0.017821	0.000235	0.000587	0.276819	0.113433	0.542842	0.066906	
36000	-897.576236	1	0.000112	0.000385	0.000284	0.000490	0.023035	0.001486	0.017441	0.028594	0.013654	0.017196	0.000154	0.000186	0.414567	0.063931	0.464732	0.056770	
37000	-898.602549	1	0.000305	0.000152	0.000200	0.013910	0.015302	0.002964	0.001380	0.030988	0.005727	0.013105	0.000096	0.000334	0.344331	0.507666	0.122448	0.025555	
38000	-899.600243	1	0.000311	0.000102	0.000141	0.011893	0.018698	0.000758	0.000158	0.035252	0.014601	0.015847	0.000197	0.000181	0.369240	0.433702	0.150999	0.046059	
39000	-902.947515	1	0.000207	0.000066	0.000266	0.014338	0.017873	0.003935	0.000543	0.045732	0.001149	0.014322	0.001737	0.000318	0.110949	0.591315	0.213625	0.084111	
40000	-898.928492	1	0.000272	0.000089	0.000331	0.020858	0.002985	0.003782	0.002346	0.014575	0.003990	0.013821	0.000146	0.000139	0.047386	0.519238	0.427730	0.005646	
41000	-900.276451	1	0.000227	0.000208	0.000347	0.010913	0.018607	0.005039	0.004540	0.037569	0.004423	0.015712	0.000370	0.000129	0.365743	0.390869	0.196478	0.046909	
42000	-903.358664	1	0.000061	0.000306	0.000263	0.005237	0.045065	0.005200	0.014282	0.070278	0.003822	0.013543	0.001115	0.000587	0.346489	0.239802	0.357552	0.056157	
43000	-898.602189	1	0.000198	0.000106	0.000279	0.001870	0.020437	0.002095	0.024718	0.024047	0.007059	0.013191	0.000750	0.000586	0.078347	0.133630	0.772768	0.015255	
44000	-902.745045	1	0.000107	0.000396	0.000268	0.004664	0.033223	0.006559	0.010215	0.045755	0.004599	0.017316	0.000019	0.000299	0.565694	0.137286	0.218957	0.078062	
45000	-900.168563	1	0.000163	0.000184	0.000229	0.000769	0.028919	0.004732	0.019369	0.046642	0.010507	0.013783	0.000546	0.000041	0.405865	0.104448	0.452968	0.036719	
46000	-897.605737	1	0.000177	0.000170	0.000172	0.000279	0.018709	0.002063	0.018445	0.012932	0.013951	0.014162	0.000456	0.000227	0.179740	0.075284	0.724052	0.020925	
47000	-905.136019	1	0.000313	0.000197	0.000357	0.006133	0.044368	0.004417	0.010741	0.086740	0.012871	0.018536	0.000054	0.000210	0.362503	0.263985	0.316719	0.056794	
