Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
833	0.188475	167	0.838323	0.115673	833	0.188475	0.297000	0.361176	
839	0.308701	161	0.875776	0.075688	839	0.308701	0.400000	0.361639	
846	0.312057	154	0.896104	0.075688	846	0.312057	0.402000	0.362113	
831	0.404332	169	0.834320	0.075688	831	0.404332	0.477000	0.363449	
829	0.174910	171	0.865497	0.139758	829	0.174910	0.293000	0.362640	
843	0.275208	157	0.853503	0.114043	843	0.275208	0.366000	0.362678	
825	0.295758	175	0.857143	0.114043	825	0.295758	0.394000	0.363030	
810	0.243210	190	0.757895	0.114043	810	0.243210	0.341000	0.362785	
810	0.353086	190	0.894737	0.114043	810	0.353086	0.456000	0.363809	
832	0.216346	168	0.880952	0.114043	832	0.216346	0.328000	0.363420	
847	0.309327	153	0.823529	0.114043	847	0.309327	0.388000	0.363684	
842	0.211401	158	0.867089	0.114043	842	0.211401	0.315000	0.363166	
841	0.290131	159	0.937107	0.114043	841	0.290131	0.393000	0.363480	
841	0.243757	159	0.817610	0.114043	841	0.243757	0.335000	0.363184	
823	0.250304	177	0.926554	0.114043	823	0.250304	0.370000	0.363254	
795	0.281761	205	0.887805	0.114043	795	0.281761	0.406000	0.363690	
804	0.310945	196	0.882653	0.114043	804	0.310945	0.423000	0.364289	
825	0.296970	175	0.845714	0.114043	825	0.296970	0.393000	0.364576	
823	0.334143	177	0.864407	0.114043	823	0.334143	0.428000	0.365204	
851	0.303173	149	0.852349	0.114043	851	0.303173	0.385000	0.365398	
816	0.323529	184	0.826087	0.114043	816	0.323529	0.416000	0.365890	
818	0.243276	182	0.862637	0.114043	818	0.243276	0.356000	0.365795	
839	0.239571	161	0.832298	0.114043	839	0.239571	0.335000	0.365501	
834	0.238609	166	0.783133	0.114043	834	0.238609	0.329000	0.365157	
843	0.322657	157	0.796178	0.114043	843	0.322657	0.397000	0.365455	
831	0.252708	169	0.840237	0.114043	831	0.252708	0.352000	0.365330	
809	0.173053	191	0.858639	0.114043	809	0.173053	0.304000	0.364767	
838	0.502387	162	0.808642	0.057842	838	0.502387	0.552000	0.366469	
857	0.450408	143	0.832168	0.059359	857	0.450408	0.505000	0.367717	
822	0.307786	178	0.859551	0.096082	822	0.307786	0.406000	0.368059	
832	0.307692	168	0.863095	0.096082	832	0.307692	0.401000	0.368351	
809	0.229913	191	0.884817	0.096082	809	0.229913	0.355000	0.368234	
803	0.242839	197	0.827411	0.096082	803	0.242839	0.358000	0.368145	
789	0.243346	211	0.900474	0.096082	789	0.243346	0.382000	0.368264	
824	0.253641	176	0.869318	0.096082	824	0.253641	0.362000	0.368211	
833	0.289316	167	0.934132	0.096082	833	0.289316	0.397000	0.368455	
809	0.253399	191	0.937173	0.096082	809	0.253399	0.384000	0.368585	
838	0.306683	162	0.895062	0.096082	838	0.306683	0.402000	0.368864	
850	0.250588	150	0.886667	0.096082	850	0.250588	0.346000	0.368675	
841	0.282996	159	0.849057	0.096082	841	0.282996	0.373000	0.368710	
832	0.346154	168	0.815476	0.096082	832	0.346154	0.425000	0.369168	
828	0.342995	172	0.877907	0.096082	828	0.342995	0.435000	0.369699	
800	0.307500	200	0.865000	0.096082	800	0.307500	0.419000	0.370093	
862	0.287703	138	0.855072	0.096082	862	0.287703	0.366000	0.370061	
826	0.358354	174	0.798851	0.096082	826	0.358354	0.435000	0.370572	
856	0.357477	144	0.881944	0.096082	856	0.357477	0.433000	0.371060	
843	0.313167	157	0.840764	0.096082	843	0.313167	0.396000	0.371253	
818	0.305623	182	0.802198	0.096082	818	0.305623	0.396000	0.371443	
823	0.337789	177	0.920904	0.096082	823	0.337789	0.441000	0.371974	
824	0.262136	176	0.863636	0.096082	824	0.262136	0.368000	0.371944	
831	0.241877	169	0.875740	0.096082	831	0.241877	0.349000	0.371772	
845	0.271006	155	0.916129	0.096082	845	0.271006	0.371000	0.371766	
823	0.307412	177	0.853107	0.096082	823	0.307412	0.404000	0.372005	
841	0.391201	159	0.861635	0.096082	841	0.391201	0.466000	0.372696	
827	0.220073	173	0.826590	0.096082	827	0.220073	0.325000	0.372348	
833	0.308523	167	0.904192	0.096082	833	0.308523	0.408000	0.372606	
825	0.315152	175	0.868571	0.096082	825	0.315152	0.412000	0.372889	
792	0.438131	208	0.899038	0.096082	792	0.438131	0.534000	0.374040	
848	0.279481	152	0.815789	0.098536	848	0.279481	0.361000	0.373948	
839	0.230036	161	0.881988	0.098536	839	0.230036	0.335000	0.373673	
854	0.355972	146	0.904110	0.098536	854	0.355972	0.436000	0.374109	
823	0.280680	177	0.915254	0.098536	823	0.280680	0.393000	0.374240	
850	0.275294	150	0.893333	0.098536	850	0.275294	0.368000	0.374197	
