q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
4.2e-05,0.000323,4.3e-05,0.025037,0.006066,0.001412,0.00202,0.019802,0.005266,0.008009,0.002458,0.001219
0.000122,0.000196,4.4e-05,0.022648,0.003379,0.000338,0.000891,0.017675,0.005555,0.007239,0.001259,0.002008
0.000252,9.5e-05,6e-06,0.024943,0.005113,0.000554,0.003735,0.018752,0.004346,0.004895,0.00271,0.000981
0.000249,0.000116,1.6e-05,0.028067,0.002418,0.000859,0.00081,0.016992,0.005379,0.006013,0.002204,0.000789
0.00012,0.000226,1.4e-05,0.025602,0.002825,0.001083,0.000107,0.016911,0.003576,0.006771,0.000937,0.001032
0.000214,0.000164,5.1e-05,0.028637,0.004974,0.000202,0.000105,0.019506,0.004011,0.006513,0.000395,0.001777
0.00016,0.000183,3e-05,0.03093,0.006483,0.000598,0.000827,0.019501,0.003022,0.005305,0.001439,0.002467
0.000194,0.000114,1.5e-05,0.025083,0.003042,0.000741,0.003333,0.014272,0.007201,0.005656,0.003048,0.001066
0.000175,0.000251,1.3e-05,0.027078,0.002692,0.001136,0.001298,0.016792,0.005828,0.005631,0.002278,0.002307
1.9e-05,0.000164,4e-06,0.030354,0.002998,0.001083,0.0028,0.019874,0.003339,0.004404,0.002641,0.002899
0.000138,0.000237,1.7e-05,0.025352,0.003308,0.001604,0.000762,0.017485,0.004581,0.005443,0.003413,0.00089
5.4e-05,0.000168,1.1e-05,0.024163,0.003382,0.000788,0.004807,0.017461,0.003551,0.005822,0.002122,0.001529
1.9e-05,0.000211,2.6e-05,0.025286,0.003387,0.00095,0.001996,0.016812,0.004749,0.007577,0.001775,0.00136
0.000109,0.000227,4.7e-05,0.025109,0.0047,0.00214,0.00238,0.018485,0.003362,0.005356,0.001732,0.002185
0.000173,0.000258,2.5e-05,0.023748,0.001979,0.001924,0.002364,0.016919,0.004061,0.007895,0.001086,0.001799
0.000227,0.000214,1e-06,0.025229,0.001407,0.001923,3.4e-05,0.015045,0.004737,0.00793,0.00198,0.00061
0.000248,0.000191,1e-06,0.026316,0.004411,0.001091,2.7e-05,0.01971,0.005198,0.006872,0.001434,0.0013
7e-05,0.000279,1e-06,0.025632,0.002834,0.000344,0.000105,0.017436,0.004573,0.006555,0.001864,0.001066
0.000183,0.000142,1.4e-05,0.025184,0.007508,0.00081,0.001821,0.021061,0.005083,0.005223,0.001574,0.001284
9.8e-05,0.000144,6.1e-05,0.023471,0.002506,0.0009,0.000464,0.020437,0.003857,0.006127,0.002775,0.001938
0.000219,0.000207,2.4e-05,0.026154,0.002212,0.000844,0.007025,0.014392,0.005157,0.003811,0.00139,0.002676
0.000107,0.000167,7.1e-05,0.024663,0.003389,0.001312,0.002794,0.019468,0.004931,0.005584,0.001723,0.003519
0.000152,0.000182,3.4e-05,0.026162,0.006145,0.000206,0.000732,0.021047,0.006562,0.005224,0.002178,0.000198
0.000111,0.000262,3e-05,0.023585,0.001634,0.001077,0.001464,0.014229,0.005951,0.007765,0.002628,0.002454
0.000206,0.000166,5.4e-05,0.028896,0.003049,0.002087,0.001761,0.01634,0.003075,0.006351,0.002724,0.001504
0.0001,0.000301,5.8e-05,0.023776,0.002714,0.001463,0.005705,0.013599,0.003298,0.005962,0.001457,0.001983
6.5e-05,0.000223,1e-05,0.024541,0.002421,0.001642,0.001256,0.017393,0.00396,0.00657,0.001459,0.000726
0.000161,0.00014,4.5e-05,0.02795,0.006133,0.001336,0.000979,0.020576,0.004145,0.00581,0.002569,0.001727
6e-05,0.000217,1.1e-05,0.023756,0.002103,0.001097,0.000588,0.01996,0.003401,0.004729,0.002485,0.001119
0.000119,0.000263,1.3e-05,0.025262,0.002211,0.001417,0.000223,0.014366,0.005478,0.006705,0.004162,0.001393
6.8e-05,0.000356,8.2e-05,0.02341,0.003267,0.001777,0.003962,0.022146,0.003866,0.004781,0.000332,0.004434
0.000174,0.000169,8e-06,0.026186,0.002965,0.001913,0.004075,0.01845,0.004736,0.006358,0.000181,0.004994
0.000182,0.000161,4.2e-05,0.025628,0.004866,0.001562,0.003792,0.023807,0.004095,0.005545,0.00224,0.003524
0.000149,0.000146,8e-06,0.021309,0.004397,0.000981,0.002163,0.016946,0.004974,0.00577,0.002155,0.002608
0.00017,0.000142,6.5e-05,0.025019,0.005132,0.001533,0.005662,0.017334,0.005256,0.005316,0.001471,0.004316
0.000138,0.000183,0.000105,0.025324,0.006937,0.00047,0.002481,0.016997,0.004307,0.00693,0.001898,0.001815
0.000271,0.000228,1e-05,0.028513,0.004867,0.00129,0.000422,0.020249,0.005114,0.004522,0.002397,0.000885
0.0003,0.000169,1e-06,0.028993,0.002007,0.003421,0.002158,0.020921,0.00417,0.006509,0.002935,0.002445
0.000197,9.7e-05,1.4e-05,0.027935,0.004179,0.001421,0.001417,0.025042,0.003642,0.004384,0.002407,0.002443
0.000108,0.000155,4.9e-05,0.025912,0.002685,0.00133,0.001276,0.015342,0.003953,0.006823,0.00282,0.000897
0.000129,0.000157,4.6e-05,0.027056,0.005295,0.001437,0.002402,0.018896,0.004244,0.004729,0.002715,0.001012
0.000171,0.000161,5.9e-05,0.021277,0.007673,0.001296,0.004975,0.019811,0.006854,0.005708,0.002091,0.00187
9.9e-05,0.000126,4e-06,0.025404,0.004994,0.001269,0.003117,0.016506,0.003319,0.006649,0.000819,0.001878
0.000268,0.000219,1.3e-05,0.023281,0.003495,0.002948,0.003404,0.016213,0.002345,0.005525,0.001367,0.001619
0.000176,0.000111,2.1e-05,0.023402,0.002665,0.00122,0.002692,0.012712,0.005101,0.005072,0.002801,0.002062
0.00023,0.000222,2.6e-05,0.027786,0.001249,0.001053,0.000802,0.014583,0.004675,0.005842,0.001361,0.000922
0.000106,0.000156,6.7e-05,0.022718,0.003937,0.000638,0.002263,0.017004,0.005433,0.006315,0.001841,0.001142
7.9e-05,0.00025,5.2e-05,0.029199,0.001779,0.001035,0.002069,0.021721,0.003759,0.005522,0.00183,0.002393
0.000185,0.00024,2.4e-05,0.023785,0.004115,0.000802,0.001597,0.01713,0.00831,0.007967,0.001534,0.001602
0.000226,8.9e-05,3.4e-05,0.027894,0.007325,0.000146,0.001177,0.024153,0.005069,0.005056,0.001551,0.002116
0.000321,0.000185,2.1e-05,0.02504,0.004817,0.000355,0.001773,0.015357,0.008081,0.005961,0.002798,0.001384
8.8e-05,0.000174,3.8e-05,0.028651,0.005345,0.001089,0.000208,0.023302,0.003891,0.005761,0.001336,0.001424
0.000111,0.000169,1.2e-05,0.024397,0.002604,0.002017,0.002183,0.016064,0.004538,0.007289,0.002174,0.002111
0.000184,0.000248,4e-06,0.023762,0.002591,0.001282,0.00209,0.016412,0.004871,0.007062,0.002445,0.00214
0.000138,0.000309,7e-06,0.024671,0.002087,0.001817,0.00144,0.021706,0.00579,0.008034,0.0008,0.002923
0.000263,0.000159,5.5e-05,0.028786,0.003494,0.001215,0.001186,0.020733,0.004203,0.006476,0.001147,0.001888
9.7e-05,0.000153,1.1e-05,0.025133,0.009122,0.001759,3.5e-05,0.034912,0.00466,0.006307,0.000845,0.003031
6.7e-05,0.000201,1.2e-05,0.025444,0.002268,0.001413,8e-06,0.016317,0.003136,0.007708,0.000899,0.001157
0.000227,0.000233,3.9e-05,0.026218,0.001372,0.00122,6.1e-05,0.023123,0.001921,0.003022,0.001275,0.002975
0.000103,0.000111,7.5e-05,0.024196,0.002201,0.00292,0.001893,0.019723,0.00139,0.004423,0.000938,0.002387
0.000226,0.000288,8.4e-05,0.02761,0.003235,0.000941,0.000981,0.015381,0.003688,0.006572,0.001557,0.001159
0.000174,0.000128,9e-06,0.025698,0.001294,0.001084,0.002641,0.013426,0.004951,0.005754,0.002317,0.000751
0.000257,0.000117,9e-06,0.025388,0.004419,0.002717,0.002794,0.020399,0.004584,0.005253,0.002859,0.003124
0.000299,0.000205,1.1e-05,0.027881,0.007528,0.001143,0.001182,0.025862,0.005903,0.003244,0.002848,0.004421
4e-05,0.000249,3e-06,0.029535,0.001543,0.001472,0.002203,0.020568,0.004147,0.005,0.001734,0.00215
0.000195,0.000182,4.6e-05,0.029316,0.005988,0.001236,0.001205,0.017895,0.004333,0.004263,0.002055,0.002606
0.000337,0.000109,1.5e-05,0.028554,0.003685,0.00098,0.002037,0.018619,0.003326,0.005626,0.001675,0.001442
0.000213,0.00023,7.1e-05,0.024555,0.0028,0.002553,0.00483,0.011389,0.003373,0.006007,0.005758,0.00132
0.00022,0.000148,2.9e-05,0.025422,0.003309,0.002201,0.001579,0.019237,0.004286,0.007439,0.002242,0.000682
0.00016,0.000308,0.000122,0.022573,0.000776,0.000879,0.002368,0.01722,0.005923,0.006398,0.001526,0.001207
0.000235,9.4e-05,0.000106,0.024004,0.004922,0.002218,0.002899,0.020717,0.004462,0.004349,0.002463,0.001274
0.000171,0.000195,1.9e-05,0.022532,0.003163,0.00174,0.004472,0.015572,0.003565,0.004777,0.001867,0.001268
7.7e-05,0.000142,7e-06,0.025517,0.003854,0.001573,0.001972,0.020568,0.002455,0.00698,0.00071,0.002716
0.00017,0.000215,6.9e-05,0.022811,0.002931,0.004771,0.006883,0.016335,0.000556,0.004802,0.002347,0.002743
0.000101,0.000143,5.9e-05,0.026367,0.00105,0.00274,0.000736,0.01529,0.003018,0.004593,0.003724,0.002151
0.000188,0.000196,3e-05,0.024978,0.002856,0.001268,0.000517,0.018232,0.00506,0.005505,0.002525,0.002156
5.5e-05,0.000162,3.4e-05,0.030025,0.007231,0.001695,0.000913,0.028692,0.003361,0.005552,0.002378,0.001948
5.7e-05,0.000221,2.9e-05,0.027107,0.001873,0.001426,7.8e-05,0.017287,0.004201,0.004955,0.001518,0.001556
5.3e-05,0.000234,3.7e-05,0.026868,0.004168,0.000662,0.001911,0.023515,0.005278,0.004773,0.001208,0.0028
7.4e-05,0.000155,4.6e-05,0.023163,0.001757,0.002257,0.000582,0.02346,0.002949,0.004701,0.001524,0.001984
8.7e-05,0.000196,4.8e-05,0.031686,0.007114,0.000867,0.002384,0.018963,0.004538,0.00439,0.004136,0.001701
4.1e-05,0.000131,4.6e-05,0.023184,0.003057,0.001291,0.003879,0.01849,0.004365,0.005811,0.002299,0.001652
0.000318,0.000244,2.5e-05,0.025459,0.002576,0.001892,0.000819,0.022707,0.000943,0.004142,0.002752,0.001621
0.000306,0.000189,1.2e-05,0.029044,0.002452,0.001202,0.000123,0.019273,0.003217,0.004636,0.003948,0.001108
0.000104,0.000168,2.6e-05,0.02659,0.004954,0.002523,0.000128,0.022124,0.004407,0.006347,0.00223,0.001773
0.000104,0.000174,4e-05,0.025247,0.005557,0.001584,0.000284,0.025261,0.003053,0.005478,0.001227,0.001845
0.00011,0.000208,1.3e-05,0.025824,0.003944,0.001904,0.00053,0.021276,0.002738,0.005525,0.002198,0.002906
0.000107,0.000126,3.6e-05,0.021319,0.005296,0.0018,0.004242,0.019661,0.004139,0.007978,0.000427,0.000595
2.5e-05,0.000155,1.9e-05,0.030761,0.003337,0.001299,0.002064,0.018457,0.002776,0.005783,0.001541,0.001637
3.6e-05,0.000154,3.7e-05,0.030576,0.004524,0.001282,0.000262,0.022818,0.00337,0.004945,0.001112,0.002672
0.000231,0.000304,7e-06,0.026645,0.003695,0.001359,0.000581,0.019934,0.006779,0.007173,1.6e-05,0.002235
0.000102,0.000215,3.6e-05,0.02595,0.007165,0.001089,0.00166,0.018845,0.006371,0.006292,2e-06,0.003724
0.000178,0.00026,5e-05,0.022401,0.005553,0.001643,0.000837,0.022969,0.003333,0.004762,1e-06,0.003884
0.00011,0.000171,6e-06,0.022519,0.002243,0.002343,0.000208,0.017333,0.003351,0.004747,2.5e-05,0.002438
0.000213,0.000163,4.6e-05,0.026269,0.004369,0.001108,0.002927,0.015066,0.004981,0.006175,0.001725,0.001075
0.000149,0.000248,2e-05,0.021452,0.003523,0.001107,0.00264,0.019839,0.003809,0.004445,0.001316,0.001987
